Date,N_ANT_POSITIVOS,N_ANT,N_PCR_POSITIVOS,N_PCR
2022-01-14,5105,11822,1554,4309
2022-01-14,525,1332,36,115
2022-01-14,2112,8090,358,2147
2022-01-14,20,34,509,1333
2022-01-14,87,292,36,135
2022-01-14,1961,4715,311,1146
2022-01-14,3169,7269,1247,3405
2022-01-14,1305,2893,963,2388
2022-01-14,16833,61245,3813,21958
2022-01-14,14,38,1289,3375
2022-01-13,1309,2915,211,927
2022-01-13,0,0,174,416
2022-01-13,410,1792,74,203
2022-01-13,2812,9692,437,2142
2022-01-13,1741,3202,454,2274
2022-01-13,1267,2060,433,1390
2022-01-13,20129,64398,4841,26204
2022-01-13,752,2127,93,387
2022-01-13,1410,3472,855,2174
2022-01-13,280,1835,167,648
2022-01-13,2509,8075,372,2600
2022-01-13,2610,6245,1526,4258
2022-01-13,2273,4105,389,1233
2022-01-13,687,3548,831,2888
2022-01-13,551,834,92,280
2022-01-13,1042,2150,439,1106
2022-01-13,0,0,768,1869
2022-01-13,1380,4500,310,2232
2022-01-13,825,1105,171,507
2022-01-13,426,905,1369,3145
2022-01-13,3178,6152,842,3009
2022-01-13,2975,5274,2868,8475
2022-01-13,354,1335,68,248
2022-01-13,87,261,36,134
2022-01-13,5913,12763,1463,3956
2022-01-13,1891,4716,230,953
2022-01-13,879,1789,3317,7984
2022-01-13,0,0,138,455
2022-01-13,464,1041,77,216
2022-01-13,354,893,485,1050
2022-01-13,804,2008,1118,2863
2022-01-13,0,0,317,918
2022-01-13,754,4288,849,2473
2022-01-13,468,1010,107,278
2022-01-13,856,2029,1744,4540
2022-01-13,967,2001,1075,3116
2022-01-13,259,702,50,210
2022-01-13,1334,2920,1088,2274
2022-01-13,861,2158,361,1273
2022-01-13,2685,4478,2501,5621
2022-01-13,299,1166,157,408
2022-01-13,1412,2273,274,1021
2022-01-13,580,1205,624,1664
2022-01-13,10897,28859,4827,14725
2022-01-13,1586,3939,1141,3040
2022-01-13,4248,5547,725,1700
2022-01-13,2148,7465,937,3341
2022-01-13,0,0,152,444
2022-01-13,2092,4053,652,3212
2022-01-13,1377,3054,223,768
2022-01-13,1056,3120,196,636
2022-01-13,526,1285,34,121
2022-01-13,354,2567,206,1424
2022-01-12,471,985,1380,3175
2022-01-12,2272,5495,292,1280
2022-01-12,1521,3897,418,2987
2022-01-12,3010,4533,566,2745
2022-01-12,1772,3635,109,460
2022-01-12,799,1768,2828,7448
2022-01-12,1004,2137,1506,3816
2022-01-12,1212,2677,364,1235
2022-01-12,114,349,54,203
2022-01-12,3479,6888,943,3127
2022-01-12,3014,8475,592,2782
2022-01-12,363,1316,109,350
2022-01-12,363,1419,182,509
2022-01-12,610,1997,56,191
2022-01-12,1291,2285,178,954
2022-01-12,1616,4033,892,2292
2022-01-12,2006,4777,1211,3383
2022-01-12,2534,7222,1167,3545
2022-01-12,531,1185,99,344
2022-01-12,3196,7266,1660,4137
2022-01-12,1272,2542,446,1117
2022-01-12,538,1586,27,96
2022-01-12,1447,3035,1105,2712
2022-01-12,5779,12777,1911,5301
2022-01-12,1113,2535,414,1022
2022-01-12,798,4126,932,2720
2022-01-12,21568,56320,5251,30112
2022-01-12,339,898,665,1512
2022-01-12,649,1274,209,529
2022-01-12,1228,2045,480,1638
2022-01-12,627,1144,221,561
2022-01-12,346,2101,278,1634
2022-01-12,1074,2629,121,494
2022-01-12,2383,4362,606,2463
2022-01-12,781,3736,987,3131
2022-01-12,938,1280,187,476
2022-01-12,1052,2013,147,495
2022-01-12,721,1473,518,1493
2022-01-12,5437,6925,861,2289
2022-01-12,3014,4977,2526,6332
2022-01-12,3032,5177,462,1326
2022-01-12,3532,6158,3148,8232
2022-01-12,339,971,66,241
2022-01-12,1221,3577,257,772
2022-01-12,666,1037,103,269
2022-01-12,933,1943,992,2886
2022-01-12,1116,1951,514,1486
2022-01-12,233,1403,205,873
2022-01-12,1646,3483,355,1295
2022-01-12,893,2253,896,2417
2022-01-12,2742,7304,512,4321
2022-01-12,12638,31669,5600,17597
2022-01-12,524,1210,66,157
2022-01-11,1352,3080,268,1139
2022-01-11,2155,5111,987,2982
2022-01-11,1141,2569,433,1313
2022-01-11,370,1235,114,383
2022-01-11,3132,6031,493,2451
2022-01-11,3348,5365,2371,6057
2022-01-11,1472,3625,792,2263
2022-01-11,910,1921,1545,4101
2022-01-11,1169,1545,233,521
2022-01-11,23707,45031,5554,32057
2022-01-11,727,3834,803,2315
2022-01-11,478,1462,242,652
2022-01-11,1264,2630,408,1563
2022-01-11,1522,2432,262,1269
2022-01-11,1364,2182,502,1597
2022-01-11,2909,5963,623,4585
2022-01-11,671,1546,92,307
2022-01-11,6316,7777,945,2476
2022-01-11,740,1077,86,211
2022-01-11,1547,4041,222,836
2022-01-11,2620,5989,217,882
2022-01-11,2677,6643,1111,3988
2022-01-11,1303,2215,349,983
2022-01-11,747,1138,132,420
2022-01-11,3704,6348,3591,10222
2022-01-11,1204,2204,347,961
2022-01-11,792,1736,3155,7570
2022-01-11,832,3566,780,2666
2022-01-11,2810,5364,822,3670
2022-01-11,568,1382,102,405
2022-01-11,3282,7432,1817,4948
2022-01-11,702,1225,537,1638
2022-01-11,1179,2194,225,700
2022-01-11,117,378,45,198
2022-01-11,3456,5544,550,2079
2022-01-11,1324,2820,1171,2487
2022-01-11,1855,3836,383,1624
2022-01-11,1104,2182,1217,3075
2022-01-11,6498,13219,1718,4839
2022-01-11,2013,3877,191,673
2022-01-11,335,845,84,348
2022-01-11,333,2406,235,1589
2022-01-11,2950,4754,697,3050
2022-01-11,1644,3395,422,2669
2022-01-11,13675,34014,5586,18585
2022-01-11,737,1211,219,521
2022-01-11,239,1930,305,1224
2022-01-11,963,2333,1004,2737
2022-01-11,326,782,729,1450
2022-01-11,531,1011,1469,3448
2022-01-11,576,1442,41,139
2022-01-11,544,1786,83,361
2022-01-11,4779,8745,1029,3500
2022-01-10,2080,3023,96,369
2022-01-10,575,1340,104,407
2022-01-10,1038,2460,608,1934
2022-01-10,827,1383,171,489
2022-01-10,27086,46262,5403,28459
2022-01-10,437,2262,220,2149
2022-01-10,714,1351,271,960
2022-01-10,2448,6178,682,2283
2022-01-10,1565,2624,149,743
2022-01-10,1357,2196,533,1985
2022-01-10,3300,5310,1754,5074
2022-01-10,1342,2375,158,554
2022-01-10,2853,7157,968,3475
2022-01-10,577,1429,20,118
2022-01-10,1966,3638,340,1285
2022-01-10,187,503,14,72
2022-01-10,1286,1634,222,637
2022-01-10,362,860,17,101
2022-01-10,1257,2216,303,940
2022-01-10,816,1176,95,260
2022-01-10,4824,9200,943,3585
2022-01-10,622,1163,1371,3177
2022-01-10,565,1713,82,307
2022-01-10,16575,40682,4709,15790
2022-01-10,3483,6410,483,2811
2022-01-10,871,3290,586,2216
2022-01-10,3343,5185,536,2891
2022-01-10,224,1547,120,1118
2022-01-10,432,1639,166,442
2022-01-10,1351,2806,338,1383
2022-01-10,780,3843,391,1332
2022-01-10,629,1403,108,319
2022-01-10,2848,6434,309,1247
2022-01-10,969,1989,1055,3071
2022-01-10,1728,4043,627,1973
2022-01-10,3102,5731,463,3244
2022-01-10,1572,3984,325,985
2022-01-10,1261,2420,375,1072
2022-01-10,305,784,365,1147
2022-01-10,330,1290,64,351
2022-01-10,1667,3310,418,1913
2022-01-10,3062,7037,2410,5411
2022-01-10,859,1177,116,349
2022-01-10,1472,3317,111,515
2022-01-10,966,2088,485,1836
2022-01-10,1217,2874,262,912
2022-01-10,3198,6131,479,2682
2022-01-10,5922,11338,1184,3868
2022-01-10,4171,6529,420,1321
2022-01-10,4039,6856,2476,7641
2022-01-10,1287,2712,1543,2802
2022-01-10,757,1626,1929,5461
2022-01-10,7405,8820,1008,2611
2022-01-09,2299,4286,396,1656
2022-01-09,3104,6151,828,2915
2022-01-09,1416,2347,1008,2351
2022-01-09,1458,4422,504,1852
2022-01-09,3614,7998,1214,2460
2022-01-09,312,2527,109,1099
2022-01-09,440,867,687,1733
2022-01-09,217,573,36,145
2022-01-09,416,1796,446,1348
2022-01-09,2215,3571,122,712
2022-01-09,850,1347,83,464
2022-01-09,319,774,2175,5507
2022-01-09,877,2015,89,421
2022-01-09,606,1269,621,1824
2022-01-09,361,685,47,155
2022-01-09,1084,2634,678,2045
2022-01-09,696,1173,72,386
2022-01-09,535,927,383,913
2022-01-09,295,527,54,180
2022-01-09,2833,3728,284,786
2022-01-09,5062,13397,1876,6457
2022-01-09,475,849,27,228
2022-01-09,194,412,17,100
2022-01-09,335,633,44,175
2022-01-09,116,246,78,183
2022-01-09,450,860,101,388
2022-01-09,444,830,367,1431
2022-01-09,574,1003,169,482
2022-01-09,857,1483,35,155
2022-01-09,1340,2657,850,2451
2022-01-09,608,859,47,128
2022-01-09,2230,3242,134,570
2022-01-09,15908,21504,1529,5967
2022-01-09,487,930,17,102
2022-01-09,537,1079,307,754
2022-01-09,650,1314,295,1186
2022-01-09,513,735,98,310
2022-01-09,639,1256,673,1338
2022-01-09,133,968,161,708
2022-01-09,304,923,20,64
2022-01-09,124,575,42,196
2022-01-09,379,2089,694,2688
2022-01-09,873,1640,47,228
2022-01-09,1873,2952,623,2364
2022-01-09,1681,3390,91,422
2022-01-09,1263,2120,102,389
2022-01-09,500,846,74,335
2022-01-09,661,1230,187,736
2022-01-09,57,140,19,82
2022-01-09,844,1086,19,77
2022-01-09,4066,4637,164,594
2022-01-09,565,1291,372,1017
2022-01-09,629,1117,165,600
2022-01-08,3649,10374,4099,13763
2022-01-08,11973,18740,2290,11969
2022-01-08,312,525,535,1489
2022-01-08,195,437,18,194
2022-01-08,506,1102,307,999
2022-01-08,1012,1755,121,693
2022-01-08,396,958,762,2245
2022-01-08,2152,4257,715,2601
2022-01-08,318,450,171,562
2022-01-08,678,1600,132,660
2022-01-08,1737,3447,2527,7303
2022-01-08,119,332,69,196
2022-01-08,447,614,29,174
2022-01-08,1514,5174,834,3055
2022-01-08,1755,2861,261,1585
2022-01-08,530,1228,620,1424
2022-01-08,385,735,1017,2932
2022-01-08,2415,3270,419,1115
2022-01-08,626,1038,393,1033
2022-01-08,697,1319,115,609
2022-01-08,68,204,372,717
2022-01-08,320,2015,688,2638
2022-01-08,1653,2939,222,1220
2022-01-08,3211,3926,221,668
2022-01-08,330,563,45,191
2022-01-08,1525,2753,1496,3675
2022-01-08,392,823,335,1080
2022-01-08,3769,6922,1352,4015
2022-01-08,1088,2236,126,632
2022-01-08,2718,5138,1128,3365
2022-01-08,836,1554,557,2181
2022-01-08,654,931,96,263
2022-01-08,302,767,908,2412
2022-01-08,296,596,51,191
2022-01-08,1839,4672,1936,4142
2022-01-08,890,2243,850,2735
2022-01-08,433,1072,625,2123
2022-01-08,389,734,472,1431
2022-01-08,572,1061,120,397
2022-01-08,178,646,78,295
2022-01-08,282,723,20,53
2022-01-08,520,944,274,970
2022-01-08,349,678,148,516
2022-01-08,353,1901,1013,2631
2022-01-08,636,1135,185,717
2022-01-08,300,553,76,265
2022-01-08,288,696,2604,6475
2022-01-08,609,1198,191,640
2022-01-08,497,819,146,680
2022-01-08,118,1152,221,1034
2022-01-08,510,851,73,225
2022-01-08,362,2100,295,1756
2022-01-08,78,215,62,249
2022-01-07,303,781,67,229
2022-01-07,434,1350,208,580
2022-01-07,1999,3591,380,1231
2022-01-07,1987,4785,833,2733
2022-01-07,2937,6005,447,2290
2022-01-07,687,1047,83,290
2022-01-07,444,684,104,319
2022-01-07,753,1074,234,735
2022-01-07,1238,2852,158,459
2022-01-07,2070,5592,2848,5457
2022-01-07,1057,1878,556,1897
2022-01-07,669,1422,96,390
2022-01-07,3469,6359,2491,7937
2022-01-07,650,1429,96,355
2022-01-07,703,1633,2364,6169
2022-01-07,621,1217,1020,2955
2022-01-07,1737,2530,96,400
2022-01-07,3136,5214,1745,5310
2022-01-07,136,452,11,48
2022-01-07,746,1287,197,501
2022-01-07,4591,9290,1318,4061
2022-01-07,1356,2287,371,993
2022-01-07,221,1042,277,995
2022-01-07,1059,2248,1182,2431
2022-01-07,325,1093,15,106
2022-01-07,1217,2483,130,682
2022-01-07,2655,8154,1070,4055
2022-01-07,291,741,422,1528
2022-01-07,616,1228,276,939
2022-01-07,1292,2717,410,1420
2022-01-07,907,2249,616,1814
2022-01-07,719,2763,966,3367
2022-01-07,364,1197,112,326
2022-01-07,2585,4360,359,1999
2022-01-07,5007,10087,1098,3235
2022-01-07,882,1991,712,2234
2022-01-07,14277,35475,4705,14955
2022-01-07,1191,2109,188,637
2022-01-07,357,2044,294,2022
2022-01-07,3826,5406,1057,2649
2022-01-07,1038,2494,305,899
2022-01-07,3755,6111,531,1328
2022-01-07,560,1375,50,196
2022-01-07,949,1961,944,2820
2022-01-07,1203,2487,377,2029
2022-01-07,1441,3577,704,2275
2022-01-07,522,2816,823,2662
2022-01-07,2098,4172,416,3206
2022-01-07,1355,2471,341,986
2022-01-07,2414,4766,458,2569
2022-01-07,1954,4580,326,1344
2022-01-07,18422,34455,4527,25483
2022-01-07,1444,4027,225,757
2022-01-06,507,854,49,163
2022-01-06,766,1948,717,2176
2022-01-06,1516,2272,85,673
2022-01-06,426,922,701,2351
2022-01-06,34,103,53,223
2022-01-06,326,569,45,101
2022-01-06,538,977,430,1005
2022-01-06,1387,2345,176,1303
2022-01-06,353,643,61,332
2022-01-06,122,258,57,187
2022-01-06,364,772,499,1280
2022-01-06,309,673,2050,5908
2022-01-06,1248,3826,731,2553
2022-01-06,1267,1691,424,1192
2022-01-06,309,599,1077,3115
2022-01-06,858,1403,70,598
2022-01-06,626,1176,284,1049
2022-01-06,86,343,300,1176
2022-01-06,318,1338,1175,3685
2022-01-06,372,571,10,67
2022-01-06,130,599,375,1910
2022-01-06,9992,14458,1552,8667
2022-01-06,308,524,48,171
2022-01-06,209,458,14,48
2022-01-06,1181,2400,2533,6351
2022-01-06,451,1000,470,1506
2022-01-06,238,398,45,158
2022-01-06,402,605,67,285
2022-01-06,360,1587,1261,4015
2022-01-06,2844,5366,720,2822
2022-01-06,1283,2202,1087,3241
2022-01-06,340,534,171,490
2022-01-06,1108,2106,1497,3717
2022-01-06,715,1213,135,471
2022-01-06,894,1833,48,229
2022-01-06,468,995,107,364
2022-01-06,60,159,69,191
2022-01-06,213,760,74,180
2022-01-06,171,363,19,89
2022-01-06,304,564,803,2071
2022-01-06,539,925,89,405
2022-01-06,728,1585,102,487
2022-01-06,328,679,519,1459
2022-01-06,324,621,483,1803
2022-01-06,398,814,275,915
2022-01-06,382,693,367,1128
2022-01-06,2201,2717,404,1001
2022-01-06,3309,6702,1306,4233
2022-01-06,579,1060,108,322
2022-01-06,519,1091,1042,1916
2022-01-06,3606,9398,3261,9524
2022-01-06,1501,4168,1084,2372
2022-01-06,297,551,35,107
2022-01-05,447,1698,148,475
2022-01-05,920,2209,1367,3407
2022-01-05,2293,4585,362,3489
2022-01-05,974,2021,1758,5155
2022-01-05,3440,5578,2529,6864
2022-01-05,260,1294,337,1387
2022-01-05,5254,6958,911,2288
2022-01-05,670,1504,100,336
2022-01-05,619,3057,1041,4068
2022-01-05,2904,8574,1395,4959
2022-01-05,852,1901,907,2772
2022-01-05,2298,6325,3216,6176
2022-01-05,1177,2682,721,1923
2022-01-05,19580,36971,5066,31123
2022-01-05,872,1488,238,667
2022-01-05,1685,4588,1003,3513
2022-01-05,575,1336,68,223
2022-01-05,1519,2847,372,1293
2022-01-05,2424,4616,423,2302
2022-01-05,13976,34519,6650,19579
2022-01-05,4050,6243,599,1786
2022-01-05,1871,4362,378,1287
2022-01-05,3757,6921,4946,13902
2022-01-05,713,1501,117,400
2022-01-05,4025,9154,1756,5499
2022-01-05,140,366,44,191
2022-01-05,515,741,104,307
2022-01-05,1057,2407,1134,2447
2022-01-05,2076,4263,336,1233
2022-01-05,353,822,61,197
2022-01-05,872,3360,1335,4694
2022-01-05,1387,2737,363,3132
2022-01-05,472,1621,128,323
2022-01-05,1540,2716,781,1789
2022-01-05,2193,3203,211,750
2022-01-05,2080,3990,660,2867
2022-01-05,1303,3155,1271,3459
2022-01-05,610,1237,1302,3195
2022-01-05,626,1047,228,649
2022-01-05,1276,2636,185,669
2022-01-05,749,1334,665,2248
2022-01-05,450,2278,385,2096
2022-01-05,1201,1993,695,2370
2022-01-05,368,1093,25,83
2022-01-05,779,1740,2122,7331
2022-01-05,1069,1924,259,757
2022-01-05,1271,2700,414,1340
2022-01-05,1558,4063,212,613
2022-01-05,854,1282,208,618
2022-01-05,834,1877,947,3056
2022-01-05,3086,6469,612,3354
2022-01-05,298,711,759,1662
2022-01-05,5308,11185,1612,5022
2022-01-04,1071,2282,1235,2458
2022-01-04,1707,5001,902,3352
2022-01-04,3334,6618,762,3505
2022-01-04,21715,39615,5208,32011
2022-01-04,295,1148,25,110
2022-01-04,1245,2709,442,1625
2022-01-04,309,848,607,2074
2022-01-04,1357,2691,326,2783
2022-01-04,1031,2058,1750,4918
2022-01-04,1339,2928,231,965
2022-01-04,1338,2385,561,1888
2022-01-04,2780,5238,493,3031
2022-01-04,588,2139,174,466
2022-01-04,1264,2438,804,2556
2022-01-04,775,1477,702,2222
2022-01-04,3201,5433,2372,6746
2022-01-04,3643,8865,1676,5439
2022-01-04,1018,2374,474,1530
2022-01-04,1654,3877,334,964
2022-01-04,964,3814,1606,6116
2022-01-04,1078,2058,291,852
2022-01-04,641,1035,172,654
2022-01-04,870,1405,325,839
2022-01-04,521,2569,301,1852
2022-01-04,130,431,55,236
2022-01-04,1581,2656,933,2469
2022-01-04,4260,5873,1624,4021
2022-01-04,613,1204,82,280
2022-01-04,635,1529,1941,6930
2022-01-04,2022,3451,152,647
2022-01-04,460,1186,78,266
2022-01-04,277,1510,314,1523
2022-01-04,1213,2008,674,2319
2022-01-04,682,1068,224,750
2022-01-04,434,694,98,275
2022-01-04,768,1533,1490,3476
2022-01-04,366,1031,163,486
2022-01-04,5416,11131,1529,5156
2022-01-04,2317,6386,2258,5273
2022-01-04,2010,4368,303,1110
2022-01-04,957,2062,802,2842
2022-01-04,2953,8679,1495,5119
2022-01-04,771,1621,123,361
2022-01-04,319,758,129,429
2022-01-04,992,2398,1409,3715
2022-01-04,15014,36969,6399,19286
2022-01-04,734,3492,1049,4175
2022-01-04,2445,4985,407,3899
2022-01-04,2043,4140,729,3120
2022-01-04,3731,6643,4365,12728
2022-01-04,4184,6539,651,1998
2022-01-04,1543,3581,1271,4041
2022-01-04,1863,4367,328,1376
2022-01-03,1023,1944,102,581
2022-01-03,253,1049,16,107
2022-01-03,245,746,350,1354
2022-01-03,2533,4752,1378,5159
2022-01-03,933,1962,828,2652
2022-01-03,2456,5104,407,2647
2022-01-03,1045,2076,513,1397
2022-01-03,538,1818,83,308
2022-01-03,255,599,117,405
2022-01-03,656,1156,374,988
2022-01-03,2025,5720,2112,4699
2022-01-03,1694,3056,415,1543
2022-01-03,335,763,73,273
2022-01-03,3983,8793,1782,6043
2022-01-03,2174,4915,314,3139
2022-01-03,929,2057,200,714
2022-01-03,2964,5757,2480,8662
2022-01-03,1464,2442,107,455
2022-01-03,20983,40393,4344,26112
2022-01-03,1112,2283,928,2520
2022-01-03,598,3252,793,3385
2022-01-03,1677,5429,723,2871
2022-01-03,1364,2971,256,1363
2022-01-03,122,380,19,99
2022-01-03,321,2427,342,1808
2022-01-03,2814,9536,1332,4788
2022-01-03,793,3598,849,3616
2022-01-03,562,944,99,429
2022-01-03,680,1057,284,946
2022-01-03,3289,8052,1133,4223
2022-01-03,2840,6119,658,1918
2022-01-03,1163,2646,420,1600
2022-01-03,292,1440,194,1159
2022-01-03,15417,43390,5105,17221
2022-01-03,3708,5038,1451,3331
2022-01-03,1575,3939,715,2313
2022-01-03,3969,6316,505,1644
2022-01-03,433,821,179,524
2022-01-03,1202,2162,645,1681
2022-01-03,669,1286,1168,3392
2022-01-03,1925,4287,491,2489
2022-01-03,1600,4175,366,1428
2022-01-03,754,1883,674,2859
2022-01-03,190,473,95,353
2022-01-03,431,1170,1530,6084
2022-01-03,727,1609,632,1966
2022-01-03,975,2721,878,2724
2022-01-03,385,632,152,651
2022-01-03,981,2453,427,1406
2022-01-03,560,1073,131,364
2022-01-03,883,2084,784,2500
2022-01-03,895,1664,543,2190
2022-01-03,970,1903,224,918
2022-01-02,498,1190,467,1257
2022-01-02,84,199,75,313
2022-01-02,571,1236,548,1634
2022-01-02,4339,14156,2084,8097
2022-01-02,776,2702,462,1907
2022-01-02,254,642,605,1855
2022-01-02,1314,5624,739,2752
2022-01-02,2868,5012,783,3362
2022-01-02,272,484,80,257
2022-01-02,467,1181,40,250
2022-01-02,255,982,16,75
2022-01-02,521,1116,61,239
2022-01-02,503,1001,81,472
2022-01-02,405,2376,980,3840
2022-01-02,301,682,490,1441
2022-01-02,2151,4866,1887,6351
2022-01-02,665,1243,133,606
2022-01-02,133,296,15,85
2022-01-02,1192,2461,185,926
2022-01-02,358,1242,710,3103
2022-01-02,404,662,87,309
2022-01-02,39,147,11,70
2022-01-02,559,1424,158,557
2022-01-02,705,1454,91,434
2022-01-02,195,389,34,152
2022-01-02,458,851,51,248
2022-01-02,358,2405,821,3038
2022-01-02,297,592,477,1769
2022-01-02,349,1212,32,177
2022-01-02,539,1218,341,1770
2022-01-02,824,2164,287,1188
2022-01-02,446,950,261,1223
2022-01-02,343,762,566,2286
2022-01-02,976,2235,1296,4632
2022-01-02,279,2000,209,1292
2022-01-02,967,1978,971,3162
2022-01-02,203,656,1932,6342
2022-01-02,166,343,60,262
2022-01-02,391,753,274,847
2022-01-02,225,1069,1048,2730
2022-01-02,8357,14332,1285,5547
2022-01-02,2356,3257,318,1106
2022-01-02,482,994,390,1461
2022-01-02,192,1108,305,1243
2022-01-02,673,1576,48,298
2022-01-02,651,1238,837,1496
2022-01-02,1215,2287,92,524
2022-01-02,1033,1700,874,2571
2022-01-02,334,651,102,263
2022-01-02,287,586,114,328
2022-01-02,139,770,9,37
2022-01-02,445,884,707,2312
2022-01-02,314,547,141,302
2022-01-01,155,478,2018,6900
2022-01-01,892,1607,115,565
2022-01-01,425,948,434,1299
2022-01-01,382,825,692,1963
2022-01-01,264,461,22,90
2022-01-01,108,245,7,42
2022-01-01,262,470,64,211
2022-01-01,437,832,1610,4271
2022-01-01,345,794,245,1121
2022-01-01,409,1054,285,1370
2022-01-01,107,268,45,122
2022-01-01,1003,3942,728,2958
2022-01-01,750,1758,1604,5167
2022-01-01,6125,10491,1245,6820
2022-01-01,1808,4129,1514,4773
2022-01-01,265,500,588,1941
2022-01-01,180,824,773,2502
2022-01-01,479,962,31,202
2022-01-01,192,695,53,255
2022-01-01,438,641,11,81
2022-01-01,2717,8498,1667,5645
2022-01-01,288,585,37,234
2022-01-01,207,1093,1108,4690
2022-01-01,77,307,31,163
2022-01-01,482,1839,563,2320
2022-01-01,217,537,638,1863
2022-01-01,304,1099,573,2248
2022-01-01,424,807,159,685
2022-01-01,971,1971,130,854
2022-01-01,324,687,515,1774
2022-01-01,210,464,518,1375
2022-01-01,108,225,37,174
2022-01-01,2209,4116,1397,5314
2022-01-01,32,141,5,65
2022-01-01,75,247,270,1403
2022-01-01,248,483,115,735
2022-01-01,85,520,225,1071
2022-01-01,635,1120,95,330
2022-01-01,366,759,98,375
2022-01-01,865,1870,1162,3586
2022-01-01,205,969,1242,4356
2022-01-01,209,496,45,297
2022-01-01,725,1869,111,613
2022-01-01,314,670,94,487
2022-01-01,2008,2602,421,1456
2022-01-01,276,539,333,1009
2022-01-01,964,1558,780,2304
2022-01-01,425,1091,156,419
2022-01-01,108,223,44,206
2022-01-01,389,922,23,179
2022-01-01,208,381,132,341
2022-01-01,68,161,207,942
2022-01-01,248,566,341,1687
2021-12-31,234,2174,356,1722
2021-12-31,649,1383,2130,6357
2021-12-31,255,1981,397,2043
2021-12-31,182,332,76,260
2021-12-31,713,3464,1273,5331
2021-12-31,346,1238,151,494
2021-12-31,1766,3942,337,2589
2021-12-31,1159,3106,4078,11812
2021-12-31,1764,2684,570,1559
2021-12-31,577,1117,283,902
2021-12-31,767,1514,328,1176
2021-12-31,1823,4498,1186,5097
2021-12-31,402,2709,1655,5406
2021-12-31,203,1182,1553,4571
2021-12-31,1520,3622,1564,4545
2021-12-31,1208,2691,1646,5608
2021-12-31,877,1582,367,1284
2021-12-31,322,768,800,3554
2021-12-31,203,626,1979,8292
2021-12-31,1003,2674,688,3025
2021-12-31,406,1356,78,313
2021-12-31,14384,31307,4312,26262
2021-12-31,505,985,380,1582
2021-12-31,420,950,1723,4849
2021-12-31,683,1238,702,2677
2021-12-31,359,672,120,348
2021-12-31,804,3641,789,3582
2021-12-31,360,644,119,395
2021-12-31,428,935,317,1391
2021-12-31,752,1905,168,711
2021-12-31,694,1735,216,791
2021-12-31,3274,7289,1954,6466
2021-12-31,681,1695,956,2247
2021-12-31,190,395,106,456
2021-12-31,2538,5743,1996,6601
2021-12-31,1841,4360,346,2939
2021-12-31,582,1043,822,1876
2021-12-31,945,2349,280,2227
