"location","date","A (Lineage)","A.23.1","Alpha - B.1.1.7 (WHO PVOC)","Beta - B.1.351 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.16 (WHO PVOC)","Delta - AY.46 (WHO PVOC)","Delta - AY.46.4 (WHO PVOC)","Delta - AY.46.6 (WHO PVOC)","Delta - AY.6 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Other","Unknown"
"South Sudan","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106"
"South Sudan","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"South Sudan","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"South Sudan","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98"
"South Sudan","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"South Sudan","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41"
"South Sudan","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146"
"South Sudan","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117"
"South Sudan","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237"
"South Sudan","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193"
"South Sudan","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","326"
"South Sudan","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178"
"South Sudan","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179"
"South Sudan","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","197"
"South Sudan","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","185"
"South Sudan","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","144"
"South Sudan","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","640"
"South Sudan","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2215"
"South Sudan","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","848"
"South Sudan","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266"
"South Sudan","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108"
"South Sudan","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"South Sudan","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"South Sudan","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152"
"South Sudan","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","137"
"South Sudan","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"South Sudan","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"South Sudan","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66"
"South Sudan","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58"
"South Sudan","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52"
"South Sudan","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52"
"South Sudan","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"South Sudan","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"South Sudan","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","335"
"South Sudan","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","132"
"South Sudan","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"South Sudan","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37"
"South Sudan","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"South Sudan","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"South Sudan","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"South Sudan","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Sudan","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
