"location","date","A.2.5","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.103 (WHO PVOC)","Delta - AY.25.1 (WHO PVOC)","Delta - AY.39.1 (WHO PVOC)","Delta - AY.4 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Delta - AY.5.6 (WHO PVOC)","Delta - AY.75 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Iota - B.1.526 (WHO PVOI)","Other","Unknown"
"Grenada","2021-01-24","0","0","20","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-02-07","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Grenada","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Grenada","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Grenada","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-07-25","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grenada","2021-08-08","0","0","0","0","5","5","0","5","0","0","0","0","0","0"
"Grenada","2021-08-22","0","0","0","0","0","0","8","8","0","15","15","0","0","0"
"Grenada","2021-09-05","0","0","0","0","0","0","254","0","508","0","254","0","0","0"
"Grenada","2021-09-19","0","0","0","0","0","0","434","0","724","0","1447","0","0","0"
"Grenada","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","1510"
"Grenada","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","395"
"Grenada","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Grenada","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"Grenada","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Grenada","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Grenada","2021-12-26","0","0","0","41","0","0","0","0","0","0","0","0","0","0"
"Grenada","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","0","0","1743"
"Grenada","2022-01-23","0","0","0","0","0","0","0","0","0","0","0","0","0","3645"
"Grenada","2022-02-06","0","0","0","0","0","0","0","0","0","0","0","0","0","1518"
"Grenada","2022-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","664"
"Grenada","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","181"
"Grenada","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","246"
"Grenada","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"Grenada","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","141"
"Grenada","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","578"
"Grenada","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","1769"
"Grenada","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","1150"
"Grenada","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","373"
"Grenada","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","235"
"Grenada","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","290"
"Grenada","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","160"
"Grenada","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","125"
"Grenada","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","316"
"Grenada","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","185"
"Grenada","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","127"
"Grenada","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","63"
"Grenada","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Grenada","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Grenada","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Grenada","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Grenada","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"Grenada","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Grenada","2023-01-08","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
