"location","date","Alpha (WHO VOC)","B (Lineage)","C.36.3 (WHO FMV)","Delta - AY.106 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.4 (WHO VOC)","Eta (WHO VOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.20 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.14 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Other","Unknown"
"Belarus","2020-09-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2391"
"Belarus","2020-09-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2815"
"Belarus","2020-10-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4178"
"Belarus","2020-10-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7846"
"Belarus","2020-11-01","0","11761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-11-15","0","14726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-11-29","0","20823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-12-13","0","25287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2020-12-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26452"
"Belarus","2021-01-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25454"
"Belarus","2021-01-24","0","25410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-02-07","0","0","0","0","21080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19621"
"Belarus","2021-03-07","0","17199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-03-21","7467","7467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-04-04","5620","5620","2810","0","0","0","0","2810","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16919"
"Belarus","2021-05-02","16840","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15278"
"Belarus","2021-05-30","17466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11856"
"Belarus","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9676"
"Belarus","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12567"
"Belarus","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12802"
"Belarus","2021-08-08","0","0","0","0","13224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-08-22","0","0","0","0","15785","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-09-05","0","0","0","0","21209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-09-19","0","0","0","0","25502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-10-03","0","0","0","0","25827","0","1722","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-10-17","0","0","0","0","28011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-10-31","0","0","0","0","28181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-11-14","0","0","0","0","13655","13655","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-11-28","0","0","0","0","18271","6091","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-12-12","0","0","0","0","22884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2021-12-26","0","0","0","0","18861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-01-09","0","640","0","640","13429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-01-23","0","0","0","0","13927","0","0","0","0","2322","0","0","0","0","0","2322","0","0","0","0"
"Belarus","2022-02-06","0","2197","0","0","4394","0","0","0","6591","13182","0","4394","2197","2197","0","13182","2197","0","0","0"
"Belarus","2022-02-20","0","0","0","0","0","0","0","0","9621","9621","9621","0","0","0","9621","57724","0","9621","0","0"
"Belarus","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47785"
"Belarus","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20079"
"Belarus","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14241"
"Belarus","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9156"
"Belarus","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6202"
"Belarus","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2187"
"Belarus","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11170"
"Belarus","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
