"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.619 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.43.8 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Gamma (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.15 (WHO VOC)","N (Lineage)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.12 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.1 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.30 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Other","Zeta (WHO VOI)","Unknown"
"Suriname","2021-05-30","","107,0","107,0","","","","","","","","","","","","","","","","2602,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-06-13","","","196,0","","","","","","","","","","","","","","","","3413,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-06-27","58,0","","58,0","","","","","","","","","","","","","","","","2762,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-07-11","","110,0","165,0","","","","","","","","","","","","","","","","1751,0","55,0","55,0","","","","","","","","","","","","","","","","",""
"Suriname","2021-07-25","","86,0","86,0","","","","","","","","","","","","","","","86,0","1237,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-08-08","","46,0","23,0","","","","","","","23,0","","","","","","","158,0","","880,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-08-22","","35,0","","","","","","","","","","","","","","70,0","384,0","70,0","943,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-09-05","","","","","","","","","","","","","","","","589,0","2176,0","118,0","471,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-09-19","","","","","","","","","","","","93,0","","","","1289,0","3590,0","737,0","185,0","","","","","","","","","","","","","","","","","","",""
"Suriname","2021-10-03","","","","","","","","","","","179,0","","179,0","","","358,0","4646,0","179,0","","","","","","","","","","","","","","","","","","","",""
