"location","date","A (Lineage)","AU.3 (WHO FMV)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.39 (WHO PVOC)","Delta - AY.82 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Other","Unknown"
"Fiji","2022-06-05","0","0","0","0","0","0","0","0","221"
"Fiji","2022-06-19","0","0","0","0","0","0","0","0","228"
"Fiji","2022-07-03","0","0","0","0","0","0","0","0","423"
"Fiji","2022-07-17","0","0","0","0","0","0","0","0","994"
"Fiji","2022-07-31","0","0","0","0","0","0","0","0","894"
"Fiji","2022-08-14","0","0","0","0","0","0","0","0","321"
"Fiji","2022-08-28","0","0","0","0","0","0","0","0","194"
"Fiji","2022-09-11","0","0","0","0","0","0","0","0","90"
"Fiji","2022-09-25","0","0","0","0","0","0","0","0","36"
"Fiji","2022-10-09","0","0","0","0","0","0","0","0","3"
"Fiji","2022-10-23","0","0","0","0","0","0","0","0","12"
"Fiji","2022-11-06","0","0","0","0","0","0","0","0","13"
"Fiji","2022-11-20","0","0","0","0","0","0","0","0","37"
"Fiji","2022-12-04","0","0","0","0","0","0","0","0","144"
"Fiji","2022-12-18","0","0","0","0","0","0","0","0","174"
"Fiji","2023-01-01","0","0","0","0","0","0","0","0","125"
"Fiji","2023-01-15","0","0","0","0","0","0","0","0","43"
"Fiji","2023-01-29","0","0","0","0","0","0","0","0","27"
"Fiji","2023-02-12","0","0","0","0","0","0","0","0","44"
"Fiji","2023-02-26","0","0","0","0","0","0","0","0","25"
"Fiji","2023-03-12","0","0","0","0","0","0","0","0","9"
