"location","date","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Other","Unknown"
"Tanzania","2022-04-24","0","0","0","0","0","0","0","21"
"Tanzania","2022-05-08","0","0","0","0","0","0","0","769"
"Tanzania","2022-05-22","0","0","0","0","0","0","0","126"
"Tanzania","2022-06-05","0","0","0","0","0","0","0","227"
"Tanzania","2022-06-19","0","0","0","0","0","0","0","372"
"Tanzania","2022-07-03","0","0","0","0","0","0","0","808"
"Tanzania","2022-07-17","0","0","0","0","0","0","0","724"
"Tanzania","2022-07-31","0","0","0","0","0","0","0","967"
"Tanzania","2022-08-14","0","0","0","0","0","0","0","589"
"Tanzania","2022-08-28","0","0","0","0","0","0","0","503"
"Tanzania","2022-09-11","0","0","0","0","0","0","0","306"
"Tanzania","2022-09-25","0","0","0","0","0","0","0","187"
"Tanzania","2022-10-09","0","0","0","0","0","0","0","239"
"Tanzania","2022-10-23","0","0","0","0","0","0","0","596"
"Tanzania","2022-11-06","0","0","0","0","0","0","0","1134"
"Tanzania","2022-11-20","0","0","0","0","0","0","0","243"
"Tanzania","2022-12-04","0","0","0","0","0","0","0","335"
"Tanzania","2022-12-18","0","0","0","0","0","0","0","231"
"Tanzania","2023-01-01","0","0","0","0","0","0","0","170"
"Tanzania","2023-01-15","0","0","0","0","0","0","0","132"
"Tanzania","2023-01-29","0","0","0","0","0","0","0","134"
"Tanzania","2023-02-12","0","0","0","0","0","0","0","111"
"Tanzania","2023-02-26","0","0","0","0","0","0","0","71"
"Tanzania","2023-03-12","0","0","0","0","0","0","0","0"
