"location","date","A.23.1","B (Lineage)","B.1.466.2 (WHO FMV)","Delta - AY.23 (WHO PVOC)","Delta - AY.24 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Other","Unknown"
"Timor","2020-12-20","0","0","0","0","0","0","0","0","0"
"Timor","2020-12-27","0","0","0","0","0","0","0","0","0"
"Timor","2021-01-03","0","0","0","0","0","0","0","0","13"
"Timor","2021-01-10","0","0","0","0","0","0","0","0","0"
"Timor","2021-01-17","0","0","0","0","0","0","0","0","8"
"Timor","2021-01-24","0","0","0","0","0","0","0","0","0"
"Timor","2021-01-31","0","0","0","0","0","0","0","0","18"
"Timor","2021-02-14","0","0","0","0","0","0","0","0","32"
"Timor","2021-02-21","0","0","0","0","0","0","0","0","0"
"Timor","2021-02-28","0","0","0","0","0","0","0","0","11"
"Timor","2021-03-07","0","0","0","0","0","0","0","0","0"
"Timor","2021-03-14","0","0","0","0","0","0","0","0","83"
"Timor","2021-03-21","0","0","0","0","0","0","0","0","0"
"Timor","2021-03-28","0","0","0","0","0","0","0","0","295"
"Timor","2021-04-11","0","0","0","0","0","0","0","0","555"
"Timor","2021-04-18","0","0","0","0","0","0","0","0","0"
"Timor","2021-04-25","0","0","0","0","0","0","0","0","851"
"Timor","2021-05-02","0","0","0","0","0","0","0","0","0"
"Timor","2021-05-09","0","0","0","0","0","0","0","0","1330"
"Timor","2021-05-16","0","0","0","0","0","0","0","0","0"
"Timor","2021-05-23","0","0","0","0","0","0","0","0","2410"
"Timor","2021-06-06","0","0","0","0","0","0","0","0","2103"
"Timor","2021-06-13","0","0","0","0","0","0","0","0","0"
"Timor","2021-06-20","0","0","0","0","0","0","0","0","967"
"Timor","2021-06-27","0","0","0","0","0","0","0","0","0"
"Timor","2021-07-04","0","0","0","0","0","0","0","0","769"
"Timor","2021-07-11","0","0","0","0","0","0","0","0","0"
"Timor","2021-07-18","0","0","0","0","0","0","0","0","652"
"Timor","2021-08-01","0","0","0","0","0","0","0","0","838"
"Timor","2021-08-08","0","0","0","0","0","0","0","0","0"
"Timor","2021-08-15","0","0","0","0","0","0","0","0","1599"
"Timor","2021-08-29","0","0","0","0","0","0","0","0","3837"
"Timor","2021-09-12","0","0","0","0","0","0","0","0","2113"
"Timor","2021-09-26","0","0","0","0","0","0","0","0","867"
"Timor","2021-10-10","0","0","0","0","0","0","0","0","291"
"Timor","2021-10-24","0","0","0","0","0","0","0","0","97"
"Timor","2021-11-07","0","0","0","0","0","0","0","0","31"
"Timor","2021-11-21","0","0","0","0","0","0","0","0","18"
"Timor","2021-12-05","0","0","0","0","0","0","0","0","9"
"Timor","2021-12-19","0","0","0","0","0","0","0","0","5"
"Timor","2022-01-02","0","0","0","0","0","0","0","0","8"
"Timor","2022-01-16","0","0","0","0","0","0","0","0","22"
"Timor","2022-01-30","0","0","0","0","0","0","0","0","74"
"Timor","2022-02-06","0","0","0","0","0","0","0","0","0"
"Timor","2022-02-13","0","0","0","0","0","0","0","0","1694"
"Timor","2022-02-27","0","0","0","0","0","0","0","0","1037"
"Timor","2022-03-13","0","0","0","0","0","0","0","0","123"
"Timor","2022-03-27","0","0","0","0","0","0","0","0","32"
"Timor","2022-04-10","0","0","0","0","0","0","0","0","19"
"Timor","2022-04-24","0","0","0","0","0","0","0","0","18"
"Timor","2022-05-08","0","0","0","0","0","0","0","0","25"
"Timor","2022-05-22","0","0","0","0","0","0","0","0","10"
"Timor","2022-06-05","0","0","0","0","0","0","0","0","30"
"Timor","2022-06-19","0","0","0","0","0","0","0","0","19"
"Timor","2022-07-03","0","0","0","0","0","0","0","0","15"
"Timor","2022-07-17","0","0","0","0","0","0","0","0","19"
"Timor","2022-07-31","0","0","0","0","0","0","0","0","26"
"Timor","2022-08-14","0","0","0","0","0","0","0","0","79"
"Timor","2022-08-28","0","0","0","0","0","0","0","0","77"
"Timor","2022-09-11","0","0","0","0","0","0","0","0","58"
"Timor","2022-09-25","0","0","0","0","0","0","0","0","35"
"Timor","2022-10-09","0","0","0","0","0","0","0","0","18"
"Timor","2022-10-23","0","0","0","0","0","0","0","0","28"
"Timor","2022-11-06","0","0","0","0","0","0","0","0","6"
"Timor","2022-11-20","0","0","0","0","0","0","0","0","22"
"Timor","2022-12-04","0","0","0","0","0","0","0","0","29"
"Timor","2022-12-18","0","0","0","0","0","0","0","0","29"
"Timor","2023-01-01","0","0","0","0","0","0","0","0","12"
"Timor","2023-01-15","0","0","0","0","0","0","0","0","8"
"Timor","2023-01-29","0","0","0","0","0","0","0","0","9"
"Timor","2023-02-12","0","0","0","0","0","0","0","0","3"
"Timor","2023-02-26","0","0","0","0","0","0","0","0","1"
"Timor","2023-03-12","0","0","0","0","0","0","0","0","2"
