"location","date","B.1.160 - 20A/EU2","Delta - AY.100 (WHO PVOC)","Delta - AY.23 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Delta - AY.44 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.18 (WHO VOC)","Omicron - BA.1.13 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Other","Unknown"
"French Polynesia","2021-08-08","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","9175"
"French Polynesia","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","11095"
"French Polynesia","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","3212"
"French Polynesia","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","1270"
"French Polynesia","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","378"
"French Polynesia","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","152"
"French Polynesia","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","62"
"French Polynesia","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","42"
"French Polynesia","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","709"
"French Polynesia","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","18"
"French Polynesia","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","83"
"French Polynesia","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","650"
"French Polynesia","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","1196"
"French Polynesia","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","6984"
"French Polynesia","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","11444"
"French Polynesia","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","3737"
"French Polynesia","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","1527"
"French Polynesia","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","586"
"French Polynesia","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","114"
"French Polynesia","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","118"
"French Polynesia","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","87"
"French Polynesia","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","112"
"French Polynesia","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","186"
"French Polynesia","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","220"
"French Polynesia","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","727"
"French Polynesia","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","1327"
"French Polynesia","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","759"
"French Polynesia","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","240"
"French Polynesia","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","103"
"French Polynesia","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","74"
"French Polynesia","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","90"
"French Polynesia","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","32"
"French Polynesia","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","40"
"French Polynesia","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","49"
"French Polynesia","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","448"
"French Polynesia","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","523"
"French Polynesia","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","159"
"French Polynesia","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"French Polynesia","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","86"
"French Polynesia","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","27"
