"location","date","A (Lineage)","A.27","Alpha (WHO VOC)","B (Lineage)","B.1.1.318 (WHO FMV)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.620 - 20A/S:126A","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.126 (WHO VOC)","Delta - AY.127 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Eta (WHO VOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.3 (WHO VOC)","Omicron - BA.2.36 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Omicron - BA.4 (WHO VOC)","Omicron - BA.5.1 (WHO VOC)","Omicron - BA.5.1.10 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Omicron - BA.5.2.20 (WHO VOC)","Omicron - BA.5.2.27 (WHO VOC)","Omicron - BE.1.1 (WHO VOC)","Other","Unknown"
"Tunisia","2021-04-18","0","0","17962","4491","0","0","1497","0","0","0","0","0","0","0","0","1497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-05-02","0","1313","18378","1313","1313","0","0","0","2626","0","0","0","0","0","0","1313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-05-16","0","0","4943","0","0","0","0","9886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-05-30","0","0","14493","0","0","0","0","0","3624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-06-13","0","0","0","4844","0","0","0","0","0","0","19376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-06-27","0","0","0","5863","0","0","0","0","0","0","32247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-07-11","0","0","0","12080","0","0","0","0","0","0","72477","0","0","0","0","6040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-07-25","0","0","17919","17919","0","0","0","0","0","0","35838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-08-08","0","0","0","0","0","0","0","0","0","0","41371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-08-22","0","0","0","0","0","0","0","0","0","0","30237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-09-05","0","0","0","0","0","0","0","0","0","0","33150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-09-19","0","0","0","0","0","0","0","0","0","0","24803","0","0","0","1079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-10-03","0","0","0","448","0","0","0","0","0","448","7160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-10-17","0","0","0","0","0","154","154","0","0","0","2616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-10-31","0","0","58","58","0","58","0","0","0","0","1554","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-11-14","0","0","0","706","0","236","0","0","0","118","1764","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-11-28","0","0","0","303","0","242","182","0","0","61","665","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-12-12","0","0","0","0","0","0","776","0","0","0","776","0","0","0","0","0","776","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3209"
"Tunisia","2022-01-09","0","0","0","10522","0","0","0","0","0","0","5261","0","0","0","0","0","5261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-01-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-02-06","0","0","0","0","0","0","0","0","0","0","24354","0","0","0","0","0","0","73061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16216","3244","0","22703","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9416","0","0","9416","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3514","0","0","3514","14055","3514","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-04-03","0","0","0","0","0","0","0","0","0","0","2041","0","0","0","0","0","0","4082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1392","0","0","1392","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1525","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1004","0","0","0","0","0","0","0","0","0","0","0","0"
"Tunisia","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1738"
"Tunisia","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","295","0","0","0","295","295","0","295","0","0","0","0","0"
"Tunisia","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","352","0","0","176","176","0","0","1055","1406","0","0","0","0"
"Tunisia","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2045","0","1023","0","0","0","1023","8179","6134","0","1023","0","0"
"Tunisia","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5361","0","0","42883","0","0","0","0","0"
"Tunisia","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5073","0","0","5073","5073","5073","0","0","0"
"Tunisia","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7113"
"Tunisia","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2089"
"Tunisia","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1301"
"Tunisia","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","523"
"Tunisia","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","244"
"Tunisia","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","222"
"Tunisia","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","550"
"Tunisia","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","289"
"Tunisia","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154"
"Tunisia","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","357"
