"pango","recombinant","alias_of","parents"
"B.1.1.7","False","B.1.1.7","['B.1.1']"
"Q.1","False","B.1.1.7.1","['B.1.1.7']"
"Q.2","False","B.1.1.7.2","['B.1.1.7']"
"Q.3","False","B.1.1.7.3","['B.1.1.7']"
"Q.4","False","B.1.1.7.4","['B.1.1.7']"
"Q.5","False","B.1.1.7.5","['B.1.1.7']"
"Q.6","False","B.1.1.7.6","['B.1.1.7']"
"Q.7","False","B.1.1.7.7","['B.1.1.7']"
"Q.8","False","B.1.1.7.8","['B.1.1.7']"
"B.1.1.8","False","B.1.1.8","['B.1.1']"
"B.1.1.10","False","B.1.1.10","['B.1.1']"
"L.1","False","B.1.1.10.1","['B.1.1.10']"
"L.2","False","B.1.1.10.2","['B.1.1.10']"
"L.3","False","B.1.1.10.3","['B.1.1.10']"
"L.4","False","B.1.1.10.4","['B.1.1.10']"
"B.1.1.12","False","B.1.1.12","['B.1.1']"
"B.1.1.13","False","B.1.1.13","['B.1.1']"
"B.1.1.14","False","B.1.1.14","['B.1.1']"
"B.1.1.15","False","B.1.1.15","['B.1.1']"
"B.1.1.16","False","B.1.1.16","['B.1.1']"
"B.1.1.17","False","B.1.1.17","['B.1.1']"
"B.1.1.25","False","B.1.1.25","['B.1.1']"
"D.2","False","B.1.1.25.2","['B.1.1.25']"
"D.3","False","B.1.1.25.3","['B.1.1.25']"
"D.4","False","B.1.1.25.4","['B.1.1.25']"
"D.5","False","B.1.1.25.5","['B.1.1.25']"
"B.1.1.26","False","B.1.1.26","['B.1.1']"
"B.1.1.27","False","B.1.1.27","['B.1.1']"
"B.1.1.28","False","B.1.1.28","['B.1.1']"
"P.1","False","B.1.1.28.1","['B.1.1.28']"
"P.1.1","False","B.1.1.28.1.1","['P.1']"
"P.1.2","False","B.1.1.28.1.2","['P.1']"
"P.1.3","False","B.1.1.28.1.3","['P.1']"
"P.1.4","False","B.1.1.28.1.4","['P.1']"
"P.1.5","False","B.1.1.28.1.5","['P.1']"
"P.1.6","False","B.1.1.28.1.6","['P.1']"
"P.1.7","False","B.1.1.28.1.7","['P.1']"
"P.1.7.1","False","B.1.1.28.1.7.1","['P.1.7']"
"P.1.8","False","B.1.1.28.1.8","['P.1']"
"P.1.9","False","B.1.1.28.1.9","['P.1']"
"P.1.10","False","B.1.1.28.1.10","['P.1']"
"P.1.10.1","False","B.1.1.28.1.10.1","['P.1.10']"
"P.1.10.2","False","B.1.1.28.1.10.2","['P.1.10']"
"P.1.11","False","B.1.1.28.1.11","['P.1']"
"P.1.12","False","B.1.1.28.1.12","['P.1']"
"P.1.12.1","False","P.1.12.1","['P.1.12']"
"P.1.13","False","B.1.1.28.1.13","['P.1']"
"P.1.14","False","B.1.1.28.1.14","['P.1']"
"P.1.15","False","B.1.1.28.1.15","['P.1']"
"P.1.16","False","B.1.1.28.1.16","['P.1']"
"P.1.17","False","B.1.1.28.1.17","['P.1']"
"P.1.17.1","False","B.1.1.28.1.17.1","['P.1.17']"
"P.2","False","B.1.1.28.2","['B.1.1.28']"
"P.3","False","B.1.1.28.3","['B.1.1.28']"
"P.4","False","B.1.1.28.4","['B.1.1.28']"
"P.5","False","B.1.1.28.5","['B.1.1.28']"
"P.6","False","B.1.1.28.6","['B.1.1.28']"
"P.7","False","B.1.1.28.7","['B.1.1.28']"
"B.1.1.29","False","B.1.1.29","['B.1.1']"
"B.1.1.30","False","B.1.1.30","['B.1.1']"
"B.1.1.31","False","B.1.1.31","['B.1.1']"
"B.1.1.33","False","B.1.1.33","['B.1.1']"
"N.1","False","B.1.1.33.1","['B.1.1.33']"
"N.2","False","B.1.1.33.2","['B.1.1.33']"
"N.3","False","B.1.1.33.3","['B.1.1.33']"
"N.4","False","B.1.1.33.4","['B.1.1.33']"
"N.5","False","B.1.1.33.5","['B.1.1.33']"
"N.6","False","B.1.1.33.6","['B.1.1.33']"
"N.7","False","B.1.1.33.7","['B.1.1.33']"
"N.8","False","B.1.1.33.8","['B.1.1.33']"
"N.9","False","B.1.1.33.9","['B.1.1.33']"
"N.10","False","B.1.1.33.10","['B.1.1.33']"
"B.1.1.34","False","B.1.1.34","['B.1.1']"
"B.1.1.37","False","B.1.1.37","['B.1.1']"
"B.1.1.38","False","B.1.1.38","['B.1.1']"
"B.1.1.39","False","B.1.1.39","['B.1.1']"
"AQ.1","False","B.1.1.39.1","['B.1.1.39']"
"AQ.2","False","B.1.1.39.2","['B.1.1.39']"
"B.1.1.40","False","B.1.1.40","['B.1.1']"
"B.1.1.41","False","B.1.1.41","['B.1.1']"
"B.1.1.43","False","B.1.1.43","['B.1.1']"
"B.1.1.44","False","B.1.1.44","['B.1.1']"
"B.1.1.45","False","B.1.1.45","['B.1.1']"
"B.1.1.46","False","B.1.1.46","['B.1.1']"
"B.1.1.47","False","B.1.1.47","['B.1.1']"
"B.1.1.48","False","B.1.1.48","['B.1.1']"
"B.1.1.49","False","B.1.1.49","['B.1.1']"
"B.1.1.50","False","B.1.1.50","['B.1.1']"
"B.1.1.51","False","B.1.1.51","['B.1.1']"
"B.1.1.52","False","B.1.1.52","['B.1.1']"
"B.1.1.53","False","B.1.1.53","['B.1.1']"
"B.1.1.54","False","B.1.1.54","['B.1.1']"
"B.1.1.55","False","B.1.1.55","['B.1.1']"
"B.1.1.56","False","B.1.1.56","['B.1.1']"
"B.1.1.57","False","B.1.1.57","['B.1.1']"
"B.1.1.58","False","B.1.1.58","['B.1.1']"
"B.1.1.59","False","B.1.1.59","['B.1.1']"
"B.1.1.61","False","B.1.1.61","['B.1.1']"
"B.1.1.62","False","B.1.1.62","['B.1.1']"
"B.1.1.63","False","B.1.1.63","['B.1.1']"
"B.1.1.67","False","B.1.1.67","['B.1.1']"
"B.1.1.70","False","B.1.1.70","['B.1.1']"
"AP.1","False","B.1.1.70.1","['B.1.1.70']"
"B.1.1.71","False","B.1.1.71","['B.1.1']"
"B.1.1.72","False","B.1.1.72","['B.1.1']"
"B.1.1.74","False","B.1.1.74","['B.1.1']"
"B.1.1.75","False","B.1.1.75","['B.1.1']"
"B.1.1.77","False","B.1.1.77","['B.1.1']"
"B.1.1.82","False","B.1.1.82","['B.1.1']"
"B.1.1.83","False","B.1.1.83","['B.1.1']"
"B.1.1.84","False","B.1.1.84","['B.1.1']"
"B.1.1.86","False","B.1.1.86","['B.1.1']"
"B.1.1.87","False","B.1.1.87","['B.1.1']"
"B.1.1.88","False","B.1.1.88","['B.1.1']"
"B.1.1.89","False","B.1.1.89","['B.1.1']"
"B.1.1.90","False","B.1.1.90","['B.1.1']"
"B.1.1.91","False","B.1.1.91","['B.1.1']"
"B.1.1.92","False","B.1.1.92","['B.1.1']"
"B.1.1.93","False","B.1.1.93","['B.1.1']"
"B.1.1.95","False","B.1.1.95","['B.1.1']"
"B.1.1.97","False","B.1.1.97","['B.1.1']"
"B.1.1.98","False","B.1.1.98","['B.1.1']"
"B.1.1.99","False","B.1.1.99","['B.1.1']"
"B.1.1.100","False","B.1.1.100","['B.1.1']"
"B.1.1.101","False","B.1.1.101","['B.1.1']"
"B.1.1.107","False","B.1.1.107","['B.1.1']"
"B.1.1.109","False","B.1.1.109","['B.1.1']"
"B.1.1.110","False","B.1.1.110","['B.1.1']"
"B.1.1.111","False","B.1.1.111","['B.1.1']"
"B.1.1.112","False","B.1.1.112","['B.1.1']"
"B.1.1.113","False","B.1.1.113","['B.1.1']"
"B.1.1.114","False","B.1.1.114","['B.1.1']"
"B.1.1.115","False","B.1.1.115","['B.1.1']"
"B.1.1.116","False","B.1.1.116","['B.1.1']"
"B.1.1.117","False","B.1.1.117","['B.1.1']"
"B.1.1.118","False","B.1.1.118","['B.1.1']"
"B.1.1.119","False","B.1.1.119","['B.1.1']"
"B.1.1.120","False","B.1.1.120","['B.1.1']"
"B.1.1.121","False","B.1.1.121","['B.1.1']"
"B.1.1.122","False","B.1.1.122","['B.1.1']"
"B.1.1.123","False","B.1.1.123","['B.1.1']"
"B.1.1.125","False","B.1.1.125","['B.1.1']"
"B.1.1.127","False","B.1.1.127","['B.1.1']"
"B.1.1.128","False","B.1.1.128","['B.1.1']"
"B.1.1.129","False","B.1.1.129","['B.1.1']"
"B.1.1.130","False","B.1.1.130","['B.1.1']"
"B.1.1.132","False","B.1.1.132","['B.1.1']"
"B.1.1.133","False","B.1.1.133","['B.1.1']"
"B.1.1.134","False","B.1.1.134","['B.1.1']"
"B.1.1.135","False","B.1.1.135","['B.1.1']"
"B.1.1.136","False","B.1.1.136","['B.1.1']"
"B.1.1.137","False","B.1.1.137","['B.1.1']"
"B.1.1.138","False","B.1.1.138","['B.1.1']"
"B.1.1.139","False","B.1.1.139","['B.1.1']"
"B.1.1.141","False","B.1.1.141","['B.1.1']"
"B.1.1.142","False","B.1.1.142","['B.1.1']"
"B.1.1.144","False","B.1.1.144","['B.1.1']"
"B.1.1.145","False","B.1.1.145","['B.1.1']"
"B.1.1.147","False","B.1.1.147","['B.1.1']"
"B.1.1.148","False","B.1.1.148","['B.1.1']"
"B.1.1.149","False","B.1.1.149","['B.1.1']"
"B.1.1.152","False","B.1.1.152","['B.1.1']"
"B.1.1.153","False","B.1.1.153","['B.1.1']"
"B.1.1.154","False","B.1.1.154","['B.1.1']"
"B.1.1.155","False","B.1.1.155","['B.1.1']"
"B.1.1.157","False","B.1.1.157","['B.1.1']"
"B.1.1.158","False","B.1.1.158","['B.1.1']"
"B.1.1.159","False","B.1.1.159","['B.1.1']"
"B.1.1.160","False","B.1.1.160","['B.1.1']"
"B.1.1.161","False","B.1.1.161","['B.1.1']"
"B.1.1.162","False","B.1.1.162","['B.1.1']"
"B.1.1.163","False","B.1.1.163","['B.1.1']"
"B.1.1.164","False","B.1.1.164","['B.1.1']"
"B.1.1.165","False","B.1.1.165","['B.1.1']"
"B.1.1.166","False","B.1.1.166","['B.1.1']"
"B.1.1.168","False","B.1.1.168","['B.1.1']"
"B.1.1.169","False","B.1.1.169","['B.1.1']"
"B.1.1.170","False","B.1.1.170","['B.1.1']"
"B.1.1.171","False","B.1.1.171","['B.1.1']"
"B.1.1.172","False","B.1.1.172","['B.1.1']"
"B.1.1.174","False","B.1.1.174","['B.1.1']"
"B.1.1.175","False","B.1.1.175","['B.1.1']"
"B.1.1.176","False","B.1.1.176","['B.1.1']"
"B.1.1.177","False","B.1.1.177","['B.1.1']"
"B.1.1.178","False","B.1.1.178","['B.1.1']"
"B.1.1.180","False","B.1.1.180","['B.1.1']"
"B.1.1.181","False","B.1.1.181","['B.1.1']"
"B.1.1.182","False","B.1.1.182","['B.1.1']"
"B.1.1.184","False","B.1.1.184","['B.1.1']"
"B.1.1.185","False","B.1.1.185","['B.1.1']"
"B.1.1.186","False","B.1.1.186","['B.1.1']"
"B.1.1.187","False","B.1.1.187","['B.1.1']"
"B.1.1.189","False","B.1.1.189","['B.1.1']"
"B.1.1.190","False","B.1.1.190","['B.1.1']"
"B.1.1.191","False","B.1.1.191","['B.1.1']"
"B.1.1.192","False","B.1.1.192","['B.1.1']"
"B.1.1.193","False","B.1.1.193","['B.1.1']"
"B.1.1.194","False","B.1.1.194","['B.1.1']"
"B.1.1.196","False","B.1.1.196","['B.1.1']"
"B.1.1.197","False","B.1.1.197","['B.1.1']"
"B.1.1.198","False","B.1.1.198","['B.1.1']"
"B.1.1.200","False","B.1.1.200","['B.1.1']"
"AN.1","False","B.1.1.200.1","['B.1.1.200']"
"B.1.1.201","False","B.1.1.201","['B.1.1']"
"B.1.1.202","False","B.1.1.202","['B.1.1']"
"B.1.1.203","False","B.1.1.203","['B.1.1']"
"B.1.1.204","False","B.1.1.204","['B.1.1']"
"B.1.1.205","False","B.1.1.205","['B.1.1']"
"B.1.1.207","False","B.1.1.207","['B.1.1']"
"B.1.1.208","False","B.1.1.208","['B.1.1']"
"B.1.1.209","False","B.1.1.209","['B.1.1']"
"B.1.1.210","False","B.1.1.210","['B.1.1']"
"B.1.1.213","False","B.1.1.213","['B.1.1']"
"B.1.1.214","False","B.1.1.214","['B.1.1']"
"B.1.1.216","False","B.1.1.216","['B.1.1']"
"AM.1","False","B.1.1.216.1","['B.1.1.216']"
"AM.2","False","B.1.1.216.2","['B.1.1.216']"
"AM.3","False","B.1.1.216.3","['B.1.1.216']"
"AM.4","False","B.1.1.216.4","['B.1.1.216']"
"B.1.1.217","False","B.1.1.217","['B.1.1']"
"S.1","False","B.1.1.217.1","['B.1.1.217']"
"B.1.1.218","False","B.1.1.218","['B.1.1']"
"B.1.1.219","False","B.1.1.219","['B.1.1']"
"B.1.1.220","False","B.1.1.220","['B.1.1']"
"B.1.1.221","False","B.1.1.221","['B.1.1']"
"B.1.1.222","False","B.1.1.222","['B.1.1']"
"B.1.1.224","False","B.1.1.224","['B.1.1']"
"B.1.1.225","False","B.1.1.225","['B.1.1']"
"B.1.1.226","False","B.1.1.226","['B.1.1']"
"B.1.1.227","False","B.1.1.227","['B.1.1']"
"B.1.1.228","False","B.1.1.228","['B.1.1']"
"B.1.1.229","False","B.1.1.229","['B.1.1']"
"B.1.1.230","False","B.1.1.230","['B.1.1']"
"B.1.1.231","False","B.1.1.231","['B.1.1']"
"AL.1","False","B.1.1.231.1","['B.1.1.231']"
"B.1.1.232","False","B.1.1.232","['B.1.1']"
"AK.1","False","B.1.1.232.1","['B.1.1.232']"
"AK.2","False","B.1.1.232.2","['B.1.1.232']"
"B.1.1.234","False","B.1.1.234","['B.1.1']"
"B.1.1.236","False","B.1.1.236","['B.1.1']"
"B.1.1.237","False","B.1.1.237","['B.1.1']"
"B.1.1.239","False","B.1.1.239","['B.1.1']"
"B.1.1.241","False","B.1.1.241","['B.1.1']"
"AH.1","False","B.1.1.241.1","['B.1.1.241']"
"AH.2","False","B.1.1.241.2","['B.1.1.241']"
"AH.3","False","B.1.1.241.3","['B.1.1.241']"
"B.1.1.240","False","B.1.1.240","['B.1.1']"
"AJ.1","False","B.1.1.240.1","['B.1.1.240']"
"B.1.1.242","False","B.1.1.242","['B.1.1']"
"B.1.1.243","False","B.1.1.243","['B.1.1']"
"B.1.1.244","False","B.1.1.244","['B.1.1']"
"B.1.1.249","False","B.1.1.249","['B.1.1']"
"B.1.1.251","False","B.1.1.251","['B.1.1']"
"B.1.1.253","False","B.1.1.253","['B.1.1']"
"B.1.1.254","False","B.1.1.254","['B.1.1']"
"B.1.1.255","False","B.1.1.255","['B.1.1']"
"B.1.1.256","False","B.1.1.256","['B.1.1']"
"B.1.1.258","False","B.1.1.258","['B.1.1']"
"B.1.1.261","False","B.1.1.261","['B.1.1']"
"B.1.1.257","False","B.1.1.257","['B.1.1']"
"B.1.1.262","False","B.1.1.262","['B.1.1']"
"B.1.1.263","False","B.1.1.263","['B.1.1']"
"B.1.1.265","False","B.1.1.265","['B.1.1']"
"B.1.1.266","False","B.1.1.266","['B.1.1']"
"B.1.1.267","False","B.1.1.267","['B.1.1']"
"B.1.1.268","False","B.1.1.268","['B.1.1']"
"B.1.1.269","False","B.1.1.269","['B.1.1']"
"B.1.1.270","False","B.1.1.270","['B.1.1']"
"B.1.1.271","False","B.1.1.271","['B.1.1']"
"B.1.1.272","False","B.1.1.272","['B.1.1']"
"B.1.1.273","False","B.1.1.273","['B.1.1']"
"B.1.1.274","False","B.1.1.274","['B.1.1']"
"B.1.1.275","False","B.1.1.275","['B.1.1']"
"B.1.1.277","False","B.1.1.277","['B.1.1']"
"K.1","False","B.1.1.277.1","['B.1.1.277']"
"K.2","False","B.1.1.277.2","['B.1.1.277']"
"K.3","False","B.1.1.277.3","['B.1.1.277']"
"B.1.1.279","False","B.1.1.279","['B.1.1']"
"B.1.1.280","False","B.1.1.280","['B.1.1']"
"B.1.1.282","False","B.1.1.282","['B.1.1']"
"B.1.1.283","False","B.1.1.283","['B.1.1']"
"B.1.1.284","False","B.1.1.284","['B.1.1']"
"B.1.1.285","False","B.1.1.285","['B.1.1']"
"B.1.1.286","False","B.1.1.286","['B.1.1']"
"B.1.1.288","False","B.1.1.288","['B.1.1']"
"B.1.1.289","False","B.1.1.289","['B.1.1']"
"B.1.1.290","False","B.1.1.290","['B.1.1']"
"B.1.1.291","False","B.1.1.291","['B.1.1']"
"B.1.1.294","False","B.1.1.294","['B.1.1']"
"M.1","False","B.1.1.294.1","['B.1.1.294']"
"M.2","False","B.1.1.294.2","['B.1.1.294']"
"M.3","False","B.1.1.294.3","['B.1.1.294']"
"B.1.1.296","False","B.1.1.296","['B.1.1']"
"B.1.1.297","False","B.1.1.297","['B.1.1']"
"AG.1","False","B.1.1.297.1","['B.1.1.297']"
"B.1.1.298","False","B.1.1.298","['B.1.1']"
"B.1.1.299","False","B.1.1.299","['B.1.1']"
"B.1.1.300","False","B.1.1.300","['B.1.1']"
"B.1.1.301","False","B.1.1.301","['B.1.1']"
"B.1.1.302","False","B.1.1.302","['B.1.1']"
"B.1.1.303","False","B.1.1.303","['B.1.1']"
"B.1.1.304","False","B.1.1.304","['B.1.1']"
"B.1.1.305","False","B.1.1.305","['B.1.1']"
"AF.1","False","B.1.1.305.1","['B.1.1.305']"
"B.1.1.306","False","B.1.1.306","['B.1.1']"
"AE.1","False","B.1.1.306.1","['B.1.1.306']"
"AE.2","False","B.1.1.306.2","['B.1.1.306']"
"AE.3","False","B.1.1.306.3","['B.1.1.306']"
"AE.4","False","B.1.1.306.4","['B.1.1.306']"
"AE.5","False","B.1.1.306.5","['B.1.1.306']"
"AE.6","False","B.1.1.306.6","['B.1.1.306']"
"AE.7","False","B.1.1.306.7","['B.1.1.306']"
"AE.8","False","B.1.1.306.8","['B.1.1.306']"
"B.1.1.307","False","B.1.1.307","['B.1.1']"
"B.1.1.308","False","B.1.1.308","['B.1.1']"
"B.1.1.309","False","B.1.1.309","['B.1.1']"
"B.1.1.310","False","B.1.1.310","['B.1.1']"
"B.1.1.311","False","B.1.1.311","['B.1.1']"
"B.1.1.312","False","B.1.1.312","['B.1.1']"
"B.1.1.315","False","B.1.1.315","['B.1.1']"
"AD.1","False","B.1.1.315.1","['B.1.1.315']"
"AD.2","False","B.1.1.315.2","['B.1.1.315']"
"AD.2.1","False","B.1.1.315.2.1","['AD.2']"
"B.1.1.316","False","B.1.1.316","['B.1.1']"
"R.1","False","B.1.1.316.1","['B.1.1.316']"
"R.2","False","B.1.1.316.2","['B.1.1.316']"
"B.1.1.317","False","B.1.1.317","['B.1.1']"
"AS.1","False","B.1.1.317.1","['B.1.1.317']"
"AS.2","False","B.1.1.317.2","['B.1.1.317']"
"B.1.1.318","False","B.1.1.318","['B.1.1']"
"AZ.1","False","B.1.1.318.1","['B.1.1.318']"
"AZ.2","False","B.1.1.318.2","['B.1.1.318']"
"AZ.2.1","False","B.1.1.318.2.1","['AZ.2']"
"AZ.3","False","B.1.1.318.3","['B.1.1.318']"
"AZ.4","False","B.1.1.318.4","['B.1.1.318']"
"AZ.5","False","B.1.1.318.5","['B.1.1.318']"
"AZ.6","False","B.1.1.318.6","['B.1.1.318']"
"B.1.1.319","False","B.1.1.319","['B.1.1']"
"B.1.1.320","False","B.1.1.320","['B.1.1']"
"B.1.1.322","False","B.1.1.322","['B.1.1']"
"B.1.1.323","False","B.1.1.323","['B.1.1']"
"B.1.1.324","False","B.1.1.324","['B.1.1']"
"B.1.1.325","False","B.1.1.325","['B.1.1']"
"B.1.1.326","False","B.1.1.326","['B.1.1']"
"B.1.1.327","False","B.1.1.327","['B.1.1']"
"B.1.1.328","False","B.1.1.328","['B.1.1']"
"B.1.1.329","False","B.1.1.329","['B.1.1']"
"B.1.1.330","False","B.1.1.330","['B.1.1']"
"B.1.1.331","False","B.1.1.331","['B.1.1']"
"B.1.1.332","False","B.1.1.332","['B.1.1']"
"B.1.1.333","False","B.1.1.333","['B.1.1']"
"B.1.1.334","False","B.1.1.334","['B.1.1']"
"B.1.1.335","False","B.1.1.335","['B.1.1']"
"B.1.1.336","False","B.1.1.336","['B.1.1']"
"B.1.1.337","False","B.1.1.337","['B.1.1']"
"B.1.1.338","False","B.1.1.338","['B.1.1']"
"B.1.1.339","False","B.1.1.339","['B.1.1']"
"B.1.1.340","False","B.1.1.340","['B.1.1']"
"B.1.1.341","False","B.1.1.341","['B.1.1']"
"B.1.1.342","False","B.1.1.342","['B.1.1']"
"B.1.1.343","False","B.1.1.343","['B.1.1']"
"B.1.1.344","False","B.1.1.344","['B.1.1']"
"B.1.1.345","False","B.1.1.345","['B.1.1']"
"B.1.1.346","False","B.1.1.346","['B.1.1']"
"B.1.1.347","False","B.1.1.347","['B.1.1']"
"B.1.1.348","False","B.1.1.348","['B.1.1']"
"B.1.1.349","False","B.1.1.349","['B.1.1']"
"B.1.1.350","False","B.1.1.350","['B.1.1']"
"B.1.1.351","False","B.1.1.351","['B.1.1']"
"B.1.1.352","False","B.1.1.352","['B.1.1']"
"B.1.1.353","False","B.1.1.353","['B.1.1']"
"B.1.1.354","False","B.1.1.354","['B.1.1']"
"B.1.1.355","False","B.1.1.355","['B.1.1']"
"B.1.1.356","False","B.1.1.356","['B.1.1']"
"B.1.1.357","False","B.1.1.357","['B.1.1']"
"B.1.1.358","False","B.1.1.358","['B.1.1']"
"B.1.1.359","False","B.1.1.359","['B.1.1']"
"B.1.1.360","False","B.1.1.360","['B.1.1']"
"B.1.1.361","False","B.1.1.361","['B.1.1']"
"B.1.1.362","False","B.1.1.362","['B.1.1']"
"B.1.1.363","False","B.1.1.363","['B.1.1']"
"B.1.1.364","False","B.1.1.364","['B.1.1']"
"B.1.1.365","False","B.1.1.365","['B.1.1']"
"B.1.1.366","False","B.1.1.366","['B.1.1']"
"B.1.1.367","False","B.1.1.367","['B.1.1']"
"B.1.1.368","False","B.1.1.368","['B.1.1']"
"B.1.1.369","False","B.1.1.369","['B.1.1']"
"B.1.1.370","False","B.1.1.370","['B.1.1']"
"AT.1","False","B.1.1.370.1","['B.1.1.370']"
"B.1.1.371","False","B.1.1.371","['B.1.1']"
"B.1.1.372","False","B.1.1.372","['B.1.1']"
"B.1.1.373","False","B.1.1.373","['B.1.1']"
"B.1.1.374","False","B.1.1.374","['B.1.1']"
"B.1.1.375","False","B.1.1.375","['B.1.1']"
"B.1.1.376","False","B.1.1.376","['B.1.1']"
"B.1.1.377","False","B.1.1.377","['B.1.1']"
"B.1.1.378","False","B.1.1.378","['B.1.1']"
"B.1.1.379","False","B.1.1.379","['B.1.1']"
"B.1.1.380","False","B.1.1.380","['B.1.1']"
"B.1.1.381","False","B.1.1.381","['B.1.1']"
"B.1.1.382","False","B.1.1.382","['B.1.1']"
"B.1.1.383","False","B.1.1.383","['B.1.1']"
"B.1.1.384","False","B.1.1.384","['B.1.1']"
"B.1.1.385","False","B.1.1.385","['B.1.1']"
"B.1.1.386","False","B.1.1.386","['B.1.1']"
"B.1.1.387","False","B.1.1.387","['B.1.1']"
"B.1.1.388","False","B.1.1.388","['B.1.1']"
"B.1.1.389","False","B.1.1.389","['B.1.1']"
"B.1.1.391","False","B.1.1.391","['B.1.1']"
"B.1.1.392","False","B.1.1.392","['B.1.1']"
"B.1.1.393","False","B.1.1.393","['B.1.1']"
"B.1.1.394","False","B.1.1.394","['B.1.1']"
"B.1.1.395","False","B.1.1.395","['B.1.1']"
"B.1.1.396","False","B.1.1.396","['B.1.1']"
"B.1.1.397","False","B.1.1.397","['B.1.1']"
"B.1.1.398","False","B.1.1.398","['B.1.1']"
"B.1.1.399","False","B.1.1.399","['B.1.1']"
"B.1.1.400","False","B.1.1.400","['B.1.1']"
"B.1.1.401","False","B.1.1.401","['B.1.1']"
"B.1.1.402","False","B.1.1.402","['B.1.1']"
"B.1.1.403","False","B.1.1.403","['B.1.1']"
