"location","date","Alpha (WHO VOC)","B (Lineage)","B.1.1.519 - 20B/S:732A","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","C (Lineage)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.9 (WHO VOC)","Epsilon (WHO AFM)","Gamma (WHO VOC)","Kappa (WHO AFM)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","Other"
"Curaçao","2021-02-07","12,5","37,5","0,0","6,25","25,0","0,0","18,75","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-02-21","66,66666666666666","2,7777777777777777","16,666666666666664","0,0","0,0","0,0","11,11111111111111","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,7777777777777777","0,0","0,0"
"Curaçao","2021-03-07","88,13559322033898","6,779661016949152","1,694915254237288","0,0","0,0","0,0","3,389830508474576","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-03-21","94,54545454545455","3,6363636363636362","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,8181818181818181","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-04-04","96,49122807017544","1,7543859649122806","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,7543859649122806","0,0"
"Curaçao","2021-04-18","98,36065573770492","1,639344262295082","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-05-02","86,66666666666667","2,2222222222222223","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,444444444444445","2,2222222222222223","0,0","4,444444444444445","0,0"
"Curaçao","2021-05-16","76,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","24,0","0,0"
"Curaçao","2021-05-30","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0","10,0","0,0"
"Curaçao","2021-06-13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,0","25,0"
"Curaçao","2021-06-27","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","35,714285714285715","0,0","0,0","14,285714285714285","0,0"
"Curaçao","2021-07-11","10,256410256410255","0,0","0,0","0,0","0,0","0,0","0,0","23,076923076923077","0,0","0,0","0,0","12,82051282051282","10,256410256410255","33,33333333333333","0,0","5,128205128205128","0,0","2,564102564102564","2,564102564102564","0,0"
"Curaçao","2021-07-25","1,5151515151515151","0,0","0,0","0,0","0,0","0,0","0,0","27,27272727272727","0,0","1,5151515151515151","0,0","12,121212121212121","9,090909090909092","48,484848484848484","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-08-08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,806451612903224","0,0","1,6129032258064515","0,0","0,0","8,064516129032258","62,903225806451616","0,0","0,0","0,0","0,0","1,6129032258064515","0,0"
"Curaçao","2021-08-22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,3265306122449","0,0","0,0","4,081632653061225","2,0408163265306123","16,3265306122449","61,224489795918366","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","23,404255319148938","2,127659574468085","0,0","2,127659574468085","2,127659574468085","12,76595744680851","57,446808510638306","0,0","0,0","0,0","0,0","0,0","0,0"
"Curaçao","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,92857142857143","0,0","1,7857142857142856","0,0","3,571428571428571","8,928571428571429","51,78571428571429","0,0","0,0","0,0","0,0","0,0","0,0"
