"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.177 - 20E/EU1","B.1.620 (WHO FMV)","Beta - B.1.351 (WHO PVOC)","Beta - B.1.351.2 (WHO PVOC)","Beta - B.1.351.5 (WHO PVOC)","Delta - AY.36 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Other","Unknown"
"Equatorial Guinea","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Equatorial Guinea","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","58"
"Equatorial Guinea","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","388"
"Equatorial Guinea","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","271"
"Equatorial Guinea","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","122"
"Equatorial Guinea","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","141"
"Equatorial Guinea","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Equatorial Guinea","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"Equatorial Guinea","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Equatorial Guinea","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","69"
"Equatorial Guinea","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"Equatorial Guinea","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Equatorial Guinea","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Equatorial Guinea","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Equatorial Guinea","2023-01-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2023-01-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea","2023-02-05","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
