"location","date","Alpha - B.1.1.7 (WHO PVOC)","Alpha - Q.4 (WHO PVOC)","B.1.1.318 (WHO FMV)","B.1.620 (WHO FMV)","Delta - AY.121 (WHO PVOC)","Delta - AY.34 (WHO PVOC)","Delta - AY.34.1 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Omicron - BA.2 (WHO VOC)","Other","Unknown"
"Mauritania","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","332"
"Mauritania","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","256"
"Mauritania","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","213"
"Mauritania","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","411"
"Mauritania","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","478"
"Mauritania","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","671"
"Mauritania","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","529"
"Mauritania","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","713"
"Mauritania","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","1481"
"Mauritania","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","3183"
"Mauritania","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","4193"
"Mauritania","2021-08-22","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","3274"
"Mauritania","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","1613"
"Mauritania","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","1048"
"Mauritania","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","568"
"Mauritania","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","523"
"Mauritania","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","749"
"Mauritania","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","924"
"Mauritania","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","927"
"Mauritania","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","517"
"Mauritania","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","1840"
"Mauritania","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","12526"
"Mauritania","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","3736"
"Mauritania","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","434"
"Mauritania","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","66"
"Mauritania","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","28"
"Mauritania","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","9"
"Mauritania","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","10"
"Mauritania","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","7"
"Mauritania","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","53"
"Mauritania","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","262"
"Mauritania","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","185"
"Mauritania","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","110"
"Mauritania","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","834"
"Mauritania","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","1738"
"Mauritania","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","692"
"Mauritania","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","148"
"Mauritania","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","54"
"Mauritania","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","17"
"Mauritania","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","15"
"Mauritania","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","117"
"Mauritania","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","356"
"Mauritania","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","128"
"Mauritania","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","26"
"Mauritania","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","2"
"Mauritania","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","5"
"Mauritania","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","6"
"Mauritania","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","4"
"Mauritania","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","1"
"Mauritania","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","2"
"Mauritania","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauritania","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","1"
