"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - AY.46 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.13 (WHO VOC)","Other","Unknown"
"Burundi","2021-09-12","0","0","0","0","0","0","0","0","0","2848"
"Burundi","2021-09-26","0","0","0","0","0","0","0","0","0","2128"
"Burundi","2021-10-10","0","0","0","0","0","0","0","0","0","1767"
"Burundi","2021-10-24","0","0","0","0","0","0","0","0","0","673"
"Burundi","2021-11-07","0","0","0","0","0","0","0","0","0","220"
"Burundi","2021-11-21","0","0","0","0","0","0","0","0","0","179"
"Burundi","2021-12-05","0","0","0","0","0","0","0","0","0","147"
"Burundi","2021-12-19","0","0","0","0","0","0","0","0","0","2148"
"Burundi","2021-12-26","0","0","0","0","0","0","0","0","0","0"
"Burundi","2022-01-02","0","0","0","0","0","0","0","0","0","9437"
"Burundi","2022-01-09","0","0","0","0","0","0","0","0","0","0"
"Burundi","2022-01-16","0","0","0","0","0","0","0","0","0","4660"
"Burundi","2022-01-30","0","0","0","0","0","0","0","0","0","670"
"Burundi","2022-02-13","0","0","0","0","0","0","0","0","0","498"
"Burundi","2022-02-27","0","0","0","0","0","0","0","0","0","210"
"Burundi","2022-03-13","0","0","0","0","0","0","0","0","0","160"
"Burundi","2022-03-27","0","0","0","0","0","0","0","0","0","196"
"Burundi","2022-04-10","0","0","0","0","0","0","0","0","0","228"
"Burundi","2022-04-24","0","0","0","0","0","0","0","0","0","770"
"Burundi","2022-05-08","0","0","0","0","0","0","0","0","0","1605"
"Burundi","2022-05-22","0","0","0","0","0","0","0","0","0","777"
"Burundi","2022-06-05","0","0","0","0","0","0","0","0","0","355"
"Burundi","2022-06-19","0","0","0","0","0","0","0","0","0","267"
"Burundi","2022-07-03","0","0","0","0","0","0","0","0","0","343"
"Burundi","2022-07-17","0","0","0","0","0","0","0","0","0","661"
"Burundi","2022-07-31","0","0","0","0","0","0","0","0","0","2675"
"Burundi","2022-08-14","0","0","0","0","0","0","0","0","0","2124"
"Burundi","2022-08-28","0","0","0","0","0","0","0","0","0","983"
"Burundi","2022-09-11","0","0","0","0","0","0","0","0","0","341"
"Burundi","2022-09-25","0","0","0","0","0","0","0","0","0","530"
"Burundi","2022-10-09","0","0","0","0","0","0","0","0","0","128"
"Burundi","2022-10-23","0","0","0","0","0","0","0","0","0","204"
"Burundi","2022-11-06","0","0","0","0","0","0","0","0","0","84"
"Burundi","2022-11-20","0","0","0","0","0","0","0","0","0","233"
"Burundi","2022-12-04","0","0","0","0","0","0","0","0","0","498"
"Burundi","2022-12-18","0","0","0","0","0","0","0","0","0","446"
"Burundi","2023-01-01","0","0","0","0","0","0","0","0","0","440"
"Burundi","2023-01-15","0","0","0","0","0","0","0","0","0","267"
"Burundi","2023-01-29","0","0","0","0","0","0","0","0","0","1063"
"Burundi","2023-02-12","0","0","0","0","0","0","0","0","0","117"
"Burundi","2023-02-26","0","0","0","0","0","0","0","0","0","22"
"Burundi","2023-03-12","0","0","0","0","0","0","0","0","0","0"
