"location","date","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","B.1.258 - 20A/S:439K","Gamma - P.1 (WHO PVOC)","Other","Unknown"
"Faeroe Islands","2021-02-28","0","0","0","0","0","1"
"Faeroe Islands","2021-03-14","0","0","0","0","0","3"
"Faeroe Islands","2021-03-21","0","0","0","0","0","0"
"Faeroe Islands","2021-03-28","0","0","0","0","0","0"
"Faeroe Islands","2021-04-11","0","0","0","0","0","0"
"Faeroe Islands","2021-04-25","0","0","0","0","0","2"
"Faeroe Islands","2021-05-09","0","0","0","0","0","5"
"Faeroe Islands","2021-05-23","0","0","0","0","0","5"
"Faeroe Islands","2021-06-06","0","0","0","0","0","68"
"Faeroe Islands","2021-06-20","0","0","0","0","0","20"
"Faeroe Islands","2021-07-04","0","0","0","0","0","20"
"Faeroe Islands","2021-07-18","0","0","0","0","0","140"
"Faeroe Islands","2021-08-01","0","0","0","0","0","62"
"Faeroe Islands","2021-08-15","0","0","0","0","0","9"
"Faeroe Islands","2021-08-29","0","0","0","0","0","8"
"Faeroe Islands","2021-09-12","0","0","0","0","0","35"
"Faeroe Islands","2021-09-26","0","0","0","0","0","80"
"Faeroe Islands","2021-10-10","0","0","0","0","0","164"
"Faeroe Islands","2021-10-24","0","0","0","0","0","258"
"Faeroe Islands","2021-11-07","0","0","0","0","0","1051"
"Faeroe Islands","2021-11-21","0","0","0","0","0","583"
"Faeroe Islands","2021-12-05","0","0","0","0","0","689"
"Faeroe Islands","2021-12-19","0","0","0","0","0","842"
"Faeroe Islands","2022-01-02","0","0","0","0","0","1381"
"Faeroe Islands","2022-01-16","0","0","0","0","0","3683"
"Faeroe Islands","2022-01-30","0","0","0","0","0","8853"
"Faeroe Islands","2022-02-13","0","0","0","0","0","9808"
"Faeroe Islands","2022-02-27","0","0","0","0","0","5708"
"Faeroe Islands","2022-03-13","0","0","0","0","0","520"
"Faeroe Islands","2022-03-27","0","0","0","0","0","0"
"Faeroe Islands","2022-04-10","0","0","0","0","0","0"
"Faeroe Islands","2022-04-24","0","0","0","0","0","0"
"Faeroe Islands","2022-05-08","0","0","0","0","0","0"
"Faeroe Islands","2022-05-22","0","0","0","0","0","0"
"Faeroe Islands","2022-06-05","0","0","0","0","0","0"
"Faeroe Islands","2022-06-19","0","0","0","0","0","0"
"Faeroe Islands","2022-07-03","0","0","0","0","0","0"
"Faeroe Islands","2022-07-17","0","0","0","0","0","0"
"Faeroe Islands","2022-07-31","0","0","0","0","0","0"
"Faeroe Islands","2022-08-14","0","0","0","0","0","0"
"Faeroe Islands","2022-08-28","0","0","0","0","0","0"
"Faeroe Islands","2022-09-11","0","0","0","0","0","0"
"Faeroe Islands","2022-09-25","0","0","0","0","0","0"
"Faeroe Islands","2022-10-09","0","0","0","0","0","0"
"Faeroe Islands","2022-10-23","0","0","0","0","0","0"
"Faeroe Islands","2022-11-06","0","0","0","0","0","0"
"Faeroe Islands","2022-11-20","0","0","0","0","0","0"
"Faeroe Islands","2022-12-04","0","0","0","0","0","0"
"Faeroe Islands","2022-12-18","0","0","0","0","0","0"
"Faeroe Islands","2023-01-01","0","0","0","0","0","0"
"Faeroe Islands","2023-01-15","0","0","0","0","0","0"
"Faeroe Islands","2023-01-29","0","0","0","0","0","0"
"Faeroe Islands","2023-02-12","0","0","0","0","0","0"
"Faeroe Islands","2023-02-26","0","0","0","0","0","0"
"Faeroe Islands","2023-03-12","0","0","0","0","0","0"
