"location","date","Alpha (WHO VOC)","B (Lineage)","B.1.177 - 20E/EU1","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.107 (WHO VOC)","Delta - AY.113 (WHO VOC)","Delta - AY.118 (WHO VOC)","Delta - AY.119 (WHO VOC)","Delta - AY.121 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.126 (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.4.3 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)","Delta - AY.53 (WHO VOC)","Delta - AY.70 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Gamma (WHO VOC)","Mu - 21H (WHO VOI)"
"Bonaire, Sint Eustatius and Saba","2021-06-27","90,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0"
"Bonaire, Sint Eustatius and Saba","2021-07-11","44,44444444444444","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,22222222222222","0,0","0,0","0,0","0,0","11,11111111111111","0,0","0,0","11,11111111111111","11,11111111111111"
"Bonaire, Sint Eustatius and Saba","2021-07-25","3,7037037037037033","0,0","0,0","7,4074074074074066","0,0","0,0","0,0","0,0","0,0","0,0","7,4074074074074066","0,0","0,0","0,0","3,7037037037037033","0,0","7,4074074074074066","0,0","0,0","3,7037037037037033","0,0","66,66666666666666","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-08-08","0,0","0,0","0,0","4,166666666666666","0,0","0,0","0,0","0,0","0,0","0,0","20,833333333333336","0,0","16,666666666666664","0,0","0,0","0,0","4,166666666666666","0,0","0,0","0,0","4,166666666666666","41,66666666666667","0,0","8,333333333333332"
"Bonaire, Sint Eustatius and Saba","2021-08-22","0,0","0,0","0,0","2,4390243902439024","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,878048780487805","0,0","0,0","0,0","43,90243902439025","2,4390243902439024","0,0","0,0","2,4390243902439024","43,90243902439025","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-09-05","0,0","0,0","0,0","0,0","1,639344262295082","11,475409836065573","0,0","0,0","0,0","0,0","4,918032786885246","0,0","4,918032786885246","0,0","0,0","0,0","26,229508196721312","1,639344262295082","21,311475409836063","0,0","0,0","27,86885245901639","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-09-19","0,0","0,0","0,0","0,0","0,0","6,0606060606060606","3,0303030303030303","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","31,818181818181817","0,0","28,78787878787879","0,0","0,0","28,78787878787879","0,0","1,5151515151515151"
"Bonaire, Sint Eustatius and Saba","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1904761904761905","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,61904761904762","3,571428571428571","28,57142857142857","0,0","0,0","42,857142857142854","0,0","1,1904761904761905"
"Bonaire, Sint Eustatius and Saba","2021-10-17","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,2195121951219512","1,2195121951219512","0,0","0,0","0,0","0,0","0,0","0,0","48,78048780487805","2,4390243902439024","20,73170731707317","0,0","4,878048780487805","20,73170731707317","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-10-31","0,0","0,0","0,0","0,0","4,761904761904762","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5873015873015872","0,0","12,698412698412698","0,0","36,507936507936506","7,936507936507936","15,873015873015872","0,0","0,0","20,634920634920633","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-11-14","0,0","0,0","0,0","3,1746031746031744","0,0","0,0","0,0","14,285714285714285","1,5873015873015872","0,0","0,0","1,5873015873015872","0,0","0,0","6,349206349206349","0,0","36,507936507936506","3,1746031746031744","4,761904761904762","0,0","0,0","28,57142857142857","0,0","0,0"
"Bonaire, Sint Eustatius and Saba","2021-11-28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,597701149425287","3,4482758620689653","0,0","0,0","0,0","3,4482758620689653","72,41379310344827","2,2988505747126435","5,747126436781609","0,0","0,0","8,045977011494253","0,0","0,0"
