"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.466.2 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.14 (WHO VOC)","Delta - AY.16 (WHO VOC)","Delta - AY.24 (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.39 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)","Delta - AY.46 (WHO VOC)","Delta - AY.46.1 (WHO VOC)","Delta - AY.47 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.53 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.75 (WHO VOC)","Delta - AY.9 (WHO VOC)","Delta - AY.9.1 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Delta - AY.98.1 (WHO VOC)","Epsilon (WHO FMV)","Gamma - P.1.17 (WHO VOC)","Iota (WHO AFM)","Kappa (WHO AFM)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","Other","Zeta - P.2 (WHO FMV)"
"Sint Maarten","2021-06-27","0,0","98,52941176470588","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,4705882352941175","0,0","0,0"
"Sint Maarten","2021-07-11","0,0","79,48717948717949","0,0","0,0","0,0","10,256410256410255","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,564102564102564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,6923076923076925","0,0"
"Sint Maarten","2021-07-25","0,0","38,80597014925373","0,0","0,0","0,0","34,32835820895522","0,0","1,4925373134328357","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,477611940298507","0,0","0,0","0,0","0,0","1,4925373134328357","0,0","0,0","0,0","0,0","5,970149253731343","11,940298507462686","0,0","0,0","1,4925373134328357","0,0","0,0","0,0","0,0","0,0","0,0"
"Sint Maarten","2021-08-08","0,0","4,761904761904762","0,0","0,0","0,0","21,08843537414966","0,0","0,0","0,0","0,0","5,442176870748299","0,6802721088435374","0,0","0,0","4,761904761904762","8,16326530612245","0,0","0,0","0,0","1,3605442176870748","0,0","0,6802721088435374","0,6802721088435374","0,6802721088435374","0,0","5,442176870748299","44,89795918367347","0,6802721088435374","0,0","0,0","0,0","0,0","0,0","0,6802721088435374","0,0","0,0"
"Sint Maarten","2021-08-22","0,0","6,11764705882353","0,0","0,0","0,0","33,1764705882353","1,411764705882353","0,0","0,0","0,2352941176470588","4,470588235294118","0,0","0,4705882352941176","0,2352941176470588","0,2352941176470588","2,823529411764706","1,1764705882352942","0,0","0,0","1,411764705882353","0,0","0,0","0,0","0,9411764705882352","0,0","0,2352941176470588","46,82352941176471","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2352941176470588","0,0"
"Sint Maarten","2021-09-05","0,0","2,464788732394366","0,0","0,0","0,0","39,08450704225352","1,056338028169014","0,0","0,0","0,0","2,112676056338028","0,0","0,0","0,0","0,0","4,577464788732395","0,35211267605633806","0,0","0,0","0,0","0,0","0,0","0,0","1,4084507042253522","0,35211267605633806","0,35211267605633806","47,88732394366197","0,0","0,0","0,0","0,0","0,0","0,35211267605633806","0,0","0,0","0,0"
"Sint Maarten","2021-09-19","0,0","0,6756756756756757","0,0","0,0","0,0","39,86486486486486","1,3513513513513513","0,0","0,0","0,0","0,6756756756756757","0,0","0,0","0,0","0,0","8,108108108108109","3,3783783783783785","1,3513513513513513","1,3513513513513513","0,0","0,0","0,0","0,0","0,0","0,0","0,0","42,567567567567565","0,0","0,0","0,0","0,0","0,0","0,6756756756756757","0,0","0,0","0,0"
"Sint Maarten","2021-10-03","0,0","0,0","0,0","0,0","0,0","33,33333333333333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6535947712418301","0,0","23,52941176470588","3,2679738562091507","0,0","0,0","0,6535947712418301","0,0","0,0","0,0","0,0","0,0","0,0","38,56209150326798","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Sint Maarten","2021-10-17","0,0","0,0","0,0","0,0","0,0","14,705882352941178","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","23,52941176470588","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,941176470588235","2,941176470588235","55,88235294117647","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Sint Maarten","2021-10-31","0,0","0,0","0,0","0,0","0,0","5,128205128205128","10,256410256410255","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,82051282051282","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","71,7948717948718","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
