"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - AY.1 (WHO PVOC)","Delta - AY.106 (WHO PVOC)","Delta - AY.111 (WHO PVOC)","Delta - AY.119 (WHO PVOC)","Delta - AY.121.1 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - AY.127 (WHO PVOC)","Delta - AY.75 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.15.1 (WHO VOC)","Other","Unknown"
"Kyrgyzstan","2021-04-18","0","2869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4177"
"Kyrgyzstan","2021-05-16","0","3099","0","1315","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-05-30","0","0","0","4082","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-06-13","0","167","0","665","333","167","0","0","0","1163","0","0","167","3157","0","0","0","0"
"Kyrgyzstan","2021-06-27","0","0","0","0","0","0","0","0","0","3499","0","0","0","6997","0","0","0","0"
"Kyrgyzstan","2021-07-11","0","3006","0","752","0","0","0","0","0","2254","0","0","0","12773","0","0","0","0"
"Kyrgyzstan","2021-07-25","0","0","0","0","0","0","0","0","0","898","0","0","449","16153","0","0","0","0"
"Kyrgyzstan","2021-08-08","0","0","0","0","0","0","0","0","0","5935","0","0","0","5935","0","0","0","0"
"Kyrgyzstan","2021-08-22","0","0","0","0","0","0","491","0","0","981","0","0","0","3433","0","0","0","0"
"Kyrgyzstan","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2553"
"Kyrgyzstan","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1249"
"Kyrgyzstan","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1018"
"Kyrgyzstan","2021-10-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1105"
"Kyrgyzstan","2021-10-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1414"
"Kyrgyzstan","2021-11-14","0","0","1082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2021-11-28","0","0","0","0","0","0","0","0","0","519","0","130","0","260","0","0","0","0"
"Kyrgyzstan","2021-12-12","0","0","0","0","0","0","0","45","0","135","45","45","0","449","0","0","0","0"
"Kyrgyzstan","2021-12-26","0","0","0","0","0","0","0","0","55","55","0","0","0","217","217","0","0","0"
"Kyrgyzstan","2022-01-09","0","0","0","0","0","0","0","0","0","87","29","29","0","58","1072","87","0","0"
"Kyrgyzstan","2022-01-23","0","0","0","0","0","0","0","0","0","4764","0","0","0","0","4764","0","0","0"
"Kyrgyzstan","2022-02-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4042"
"Kyrgyzstan","2022-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","886"
"Kyrgyzstan","2022-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319"
"Kyrgyzstan","2022-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","177"
"Kyrgyzstan","2022-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150"
"Kyrgyzstan","2022-04-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Kyrgyzstan","2022-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Kyrgyzstan","2022-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2022-06-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","2022-06-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"Kyrgyzstan","2022-07-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107"
"Kyrgyzstan","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","573"
"Kyrgyzstan","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2072"
"Kyrgyzstan","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1422"
"Kyrgyzstan","2022-09-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","518"
"Kyrgyzstan","2022-09-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","204"
"Kyrgyzstan","2022-10-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163"
"Kyrgyzstan","2022-10-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","167"
"Kyrgyzstan","2022-10-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149"
"Kyrgyzstan","2022-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"Kyrgyzstan","2022-11-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47"
"Kyrgyzstan","2022-12-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Kyrgyzstan","2022-12-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Kyrgyzstan","2023-01-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Kyrgyzstan","2023-01-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Kyrgyzstan","2023-02-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
