"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.623 (PHE VUI)","B.1.630 (WHO FMV)","C (Lineage)","Delta (WHO VOC)","Delta - AY.100 (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.105 (WHO VOC)","Delta - AY.113 (WHO VOC)","Delta - AY.117 (WHO VOC)","Delta - AY.118 (WHO VOC)","Delta - AY.119 (WHO VOC)","Delta - AY.119.2 (WHO VOC)","Delta - AY.122 (WHO VOC)","Delta - AY.14 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.25 (WHO VOC)","Delta - AY.25.1 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.35 (WHO VOC)","Delta - AY.37 (WHO VOC)","Delta - AY.39 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.42 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.44 (WHO VOC)","Delta - AY.47 (WHO VOC)","Epsilon (WHO FMV)","Gamma (WHO VOC)","Gamma - P.1.10 (WHO VOC)","Gamma - P.1.14 (WHO VOC)","Gamma - P.1.16 (WHO VOC)","Iota (WHO FMV)","Lambda (WHO VOI)","Mu - 21H (WHO VOI)","Mu - 21H - BB.2 (WHO VOI)","Other","Unknown"
"Dominican Republic","2021-07-11","0","0","1212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8481","0","0","0"
"Dominican Republic","2021-07-25","0","0","1275","0","0","638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4461","0","0","0"
"Dominican Republic","2021-08-08","0","0","154","0","0","920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154","0","0","307","0","0","0","307","0","0","0","154","154","2298","0","0","0"
"Dominican Republic","2021-08-22","0","0","0","0","0","835","0","0","0","0","1670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","835","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","2021-09-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1952","0","0","0","0","0","0","0","1952","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","2021-09-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1706","0","1706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","2021-10-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","2021-10-17","0","0","184","0","0","92","0","0","92","184","0","184","184","92","1925","550","275","367","0","367","1100","550","734","92","92","92","0","1833","92","184","0","92","0","0","0","0","0","184","92","0","0"
"Dominican Republic","2021-10-31","0","0","0","0","0","0","0","239","239","0","0","478","239","0","1432","478","478","239","0","955","716","955","716","0","478","0","239","3341","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","2021-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14189"
"Dominican Republic","2021-11-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10947"
"Dominican Republic","2021-12-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3462"
"Dominican Republic","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3961"
"Dominican Republic","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43001"
"Dominican Republic","2022-01-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82353"
