"location","date","A (Lineage)","Alpha - B.1.1.7 (WHO PVOC)","B (Lineage)","Delta - AY.121 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.126 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.2.12.1 (WHO VOC)","Omicron - BA.2.9 (WHO VOC)","Omicron - BA.5.2 (WHO VOC)","Omicron - BA.5.2.20 (WHO VOC)","Omicron - BA.5.2.28 (WHO VOC)","Omicron - BF.5 (WHO VOC)","Other","Unknown"
"Uzbekistan","2020-10-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4306"
"Uzbekistan","2020-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3393"
"Uzbekistan","2020-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2959"
"Uzbekistan","2020-12-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2352"
"Uzbekistan","2020-12-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2020-12-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023"
"Uzbekistan","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1311"
"Uzbekistan","2021-01-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","730"
"Uzbekistan","2021-01-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","743"
"Uzbekistan","2021-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","705"
"Uzbekistan","2021-02-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","470"
"Uzbekistan","2021-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","681"
"Uzbekistan","2021-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1773"
"Uzbekistan","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2582"
"Uzbekistan","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4105"
"Uzbekistan","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5370"
"Uzbekistan","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4054"
"Uzbekistan","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3271"
"Uzbekistan","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4303"
"Uzbekistan","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6572"
"Uzbekistan","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6791"
"Uzbekistan","2021-07-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10828"
"Uzbekistan","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12825"
"Uzbekistan","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11803"
"Uzbekistan","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9520"
"Uzbekistan","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7726"
"Uzbekistan","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6169"
"Uzbekistan","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5310"
"Uzbekistan","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4355"
"Uzbekistan","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3410"
"Uzbekistan","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2999"
"Uzbekistan","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2741"
"Uzbekistan","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2044"
"Uzbekistan","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5967"
"Uzbekistan","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16834"
"Uzbekistan","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11520"
"Uzbekistan","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2960"
"Uzbekistan","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","839"
"Uzbekistan","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403"
"Uzbekistan","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","430"
"Uzbekistan","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","398"
"Uzbekistan","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","246"
"Uzbekistan","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214"
"Uzbekistan","2022-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194"
"Uzbekistan","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","510"
"Uzbekistan","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1407"
"Uzbekistan","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1196"
"Uzbekistan","2022-07-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","857"
"Uzbekistan","2022-08-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","444"
"Uzbekistan","2022-08-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231"
"Uzbekistan","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189"
"Uzbekistan","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","194"
"Uzbekistan","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","173"
"Uzbekistan","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158"
"Uzbekistan","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","328"
"Uzbekistan","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","609"
"Uzbekistan","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1732"
"Uzbekistan","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1685"
"Uzbekistan","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","881"
"Uzbekistan","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","527"
"Uzbekistan","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"Uzbekistan","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","239"
"Uzbekistan","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","253"
"Uzbekistan","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","352"
