"location","date","Alpha - B.1.1.7 (WHO PVOC)","B.1.1.318 (WHO FMV)","Beta - B.1.351 (WHO PVOC)","Delta - AY.37 (WHO PVOC)","Delta - B.1.617.2 (WHO PVOC)","Eta - B.1.525 (WHO PVOI)","Iota - B.1.526 (WHO PVOI)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","R.1 (WHO FMV)","Other","Unknown"
"Liberia","2021-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Liberia","2021-04-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"Liberia","2021-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Liberia","2021-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Liberia","2021-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","146"
"Liberia","2021-06-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-06-20","0","0","0","0","0","0","0","0","0","0","0","0","0","774"
"Liberia","2021-06-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-07-04","0","0","0","0","0","0","0","0","0","0","0","0","0","1846"
"Liberia","2021-07-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2021-07-18","0","0","0","0","0","0","0","0","0","0","0","0","0","526"
"Liberia","2021-08-01","0","0","0","0","0","0","0","0","0","0","0","0","0","101"
"Liberia","2021-08-15","0","0","0","0","0","0","0","0","0","0","0","0","0","63"
"Liberia","2021-08-29","0","0","0","0","0","0","0","0","0","0","0","0","0","94"
"Liberia","2021-09-12","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"Liberia","2021-09-26","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"Liberia","2021-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Liberia","2021-10-24","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Liberia","2021-11-07","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Liberia","2021-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Liberia","2021-12-05","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Liberia","2021-12-19","0","0","0","0","0","0","0","0","0","0","0","0","0","89"
"Liberia","2021-12-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2022-01-02","0","0","0","0","0","0","0","0","0","0","0","0","0","825"
"Liberia","2022-01-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","2022-01-16","0","0","0","0","0","0","0","0","0","0","0","0","0","449"
"Liberia","2022-01-30","0","0","0","0","0","0","0","0","0","0","0","0","0","79"
"Liberia","2022-02-13","0","0","0","0","0","0","0","0","0","0","0","0","0","88"
"Liberia","2022-02-27","0","0","0","0","0","0","0","0","0","0","0","0","0","24"
"Liberia","2022-03-13","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Liberia","2022-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Liberia","2022-04-10","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Liberia","2022-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Liberia","2022-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Liberia","2022-05-22","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Liberia","2022-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Liberia","2022-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"Liberia","2022-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Liberia","2022-07-17","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Liberia","2022-07-31","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"Liberia","2022-08-14","0","0","0","0","0","0","0","0","0","0","0","0","0","175"
"Liberia","2022-08-28","0","0","0","0","0","0","0","0","0","0","0","0","0","155"
"Liberia","2022-09-11","0","0","0","0","0","0","0","0","0","0","0","0","0","61"
"Liberia","2022-09-25","0","0","0","0","0","0","0","0","0","0","0","0","0","29"
"Liberia","2022-10-09","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Liberia","2022-10-23","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Liberia","2022-11-06","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Liberia","2022-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Liberia","2022-12-04","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Liberia","2022-12-18","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Liberia","2023-01-01","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Liberia","2023-01-15","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Liberia","2023-01-29","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Liberia","2023-02-12","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Liberia","2023-02-26","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Liberia","2023-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
