"location","date","Omicron - BA.5 (WHO VOC)","Omicron - BA.5.5 (WHO VOC)","Omicron - BE.1 (WHO VOC)","Omicron - BQ.1.3 (WHO VOC-SUM)","Omicron - XBB.1.5.17 (WHO VOC-SUM)","Other","Unknown"
"Micronesia","2021-10-10","0","0","0","0","0","0","0"
"Micronesia","2021-10-24","0","0","0","0","0","0","0"
"Micronesia","2021-11-07","0","0","0","0","0","0","0"
"Micronesia","2021-11-21","0","0","0","0","0","0","0"
"Micronesia","2021-12-05","0","0","0","0","0","0","0"
"Micronesia","2021-12-19","0","0","0","0","0","0","0"
"Micronesia","2022-01-02","0","0","0","0","0","0","0"
"Micronesia","2022-01-16","0","0","0","0","0","0","0"
"Micronesia","2022-01-30","0","0","0","0","0","0","0"
"Micronesia","2022-02-13","0","0","0","0","0","0","0"
"Micronesia","2022-02-27","0","0","0","0","0","0","0"
"Micronesia","2022-03-13","0","0","0","0","0","0","0"
"Micronesia","2022-03-27","0","0","0","0","0","0","0"
"Micronesia","2022-04-10","0","0","0","0","0","0","0"
"Micronesia","2022-04-24","0","0","0","0","0","0","0"
"Micronesia","2022-05-08","0","0","0","0","0","0","5"
"Micronesia","2022-05-22","0","0","0","0","0","0","23"
"Micronesia","2022-06-05","0","0","0","0","0","0","8"
"Micronesia","2022-06-12","0","0","0","0","0","0","0"
"Micronesia","2022-06-19","0","0","0","0","0","0","0"
"Micronesia","2022-07-03","0","0","0","0","0","0","0"
"Micronesia","2022-07-10","0","0","0","0","0","0","0"
"Micronesia","2022-07-17","0","0","0","0","0","0","0"
"Micronesia","2022-07-24","0","0","0","0","0","0","0"
"Micronesia","2022-07-31","0","0","0","0","0","0","5220"
"Micronesia","2022-08-07","0","0","0","0","0","0","0"
"Micronesia","2022-08-14","0","0","0","0","0","0","1623"
"Micronesia","2022-08-21","0","0","0","0","0","0","0"
"Micronesia","2022-08-28","0","0","0","0","0","0","182"
"Micronesia","2022-09-04","0","0","0","0","0","0","0"
"Micronesia","2022-09-11","0","0","0","0","0","0","2409"
"Micronesia","2022-09-18","0","0","0","0","0","0","0"
"Micronesia","2022-09-25","0","0","0","0","0","0","611"
"Micronesia","2022-10-02","0","0","0","0","0","0","0"
"Micronesia","2022-10-09","0","0","0","0","0","0","11202"
"Micronesia","2022-10-23","0","0","0","0","0","0","747"
"Micronesia","2022-11-06","0","0","0","0","0","0","0"
"Micronesia","2022-11-20","0","0","0","0","0","0","2"
"Micronesia","2022-12-04","0","0","0","0","0","0","2"
"Micronesia","2022-12-18","0","0","0","0","0","0","12"
"Micronesia","2023-01-01","0","0","0","0","0","0","186"
"Micronesia","2023-01-15","0","0","0","0","0","0","1232"
"Micronesia","2023-01-22","0","0","0","0","0","0","0"
"Micronesia","2023-01-29","0","0","0","0","0","0","205"
"Micronesia","2023-02-12","0","0","0","0","0","0","277"
"Micronesia","2023-02-26","0","0","0","0","0","0","0"
"Micronesia","2023-03-05","0","0","0","0","0","0","0"
"Micronesia","2023-03-12","0","0","0","0","0","0","0"
